일요일 날짜,년도,주차,할인율(%),이번 주 판매량,누적 판매량,목표 판매량,목표 판매량 차이,정가,기온(도),누적 매출,이번 주 보상
2024-01-07,2024,1,45,1048.82,1048.82,57300,56251.18,199000,-1.1,114792946,114770445.58
2024-01-14,2024,2,45,1079.68,2128.49,57300,55171.51,199000,1.1,232963405,118148390.4
2024-01-21,2024,3,45,970.56,3099.05,57300,54200.95,199000,-4.9,339191302,106206216.83
2024-01-28,2024,4,45,959.3,4058.35,57300,53241.65,199000,2.1,444186229,104973629.94
2024-02-04,2024,5,45,1003.79,5062.14,57300,52237.86,199000,2.2,554050730,109843605.98
2024-02-11,2024,6,45,1098.41,6160.54,57300,51139.46,199000,5.3,674271426,120200240.54
2024-02-18,2024,7,45,1107.21,7267.75,57300,50032.25,199000,3.6,795455286,121163846.41
2024-02-25,2024,8,45,1030.66,8298.41,57300,49001.59,199000,2.6,908261050,112786163.66
2024-03-03,2024,9,45,940.78,9239.19,57300,48060.81,199000,4.5,1011229509,102949235.02
2024-03-10,2024,10,45,900.99,10140.18,57300,47159.82,199000,7.4,1109842720,98594346.91
2024-03-17,2024,11,45,904.04,11044.22,57300,46255.78,199000,7.9,1208790054,98928831.33
2024-03-24,2024,12,45,926.72,11970.94,57300,45329.06,199000,10.2,1310219551,101411365.68
2024-03-31,2024,13,45,933.31,12904.25,57300,44395.75,199000,13.9,1412369855,102132545.93
2024-04-07,2024,14,45,922.72,13826.97,57300,43473.03,199000,16.0,1513362049,100974804.29
2024-04-14,2024,15,45,924.11,14751.08,57300,42548.92,199000,16.4,1614505382,101126313.19
2024-04-21,2024,16,45,939.96,15691.03,57300,41608.97,199000,16.7,1717383724,102861698.41
2024-04-28,2024,17,45,946.52,16637.55,57300,40662.45,199000,19.7,1820980125,103580136.23
2024-05-05,2024,18,45,877.28,17514.84,57300,39785.16,199000,15.8,1916998932,96002893.43
2024-05-12,2024,19,45,836.28,18351.12,57300,38948.88,199000,17.0,2008529592,91515079.89
2024-05-19,2024,20,45,877.01,19228.12,57300,38071.88,199000,20.7,2104518260,95973439.93
2024-05-26,2024,21,45,991.44,20219.57,57300,37080.43,199000,20.3,2213031702,108498609.77
2024-06-02,2024,22,45,1173.38,21392.95,57300,35907.05,199000,22.4,2341458149,128412084.13
2024-06-09,2024,23,45,1341.92,22734.86,57300,34565.14,199000,25.0,2488330856,146858880.66
2024-06-16,2024,24,45,1443.34,24178.21,57300,33121.79,199000,26.5,2646304644,157960539.55
2024-06-23,2024,25,45,1463.83,25642.03,57300,31657.97,199000,25.3,2806520374,160203066.14
2024-06-30,2024,26,45,1429.83,27071.86,57300,30228.14,199000,24.7,2963014934,156482468.75
2024-07-07,2024,27,45,1349.09,28420.95,57300,28879.05,199000,25.5,3110672739,147646254.21
2024-07-14,2024,28,45,1226.2,29647.15,57300,27652.85,199000,26.8,3244880673,134196872.14
2024-07-21,2024,29,45,1089.56,30736.71,57300,26563.29,199000,27.7,3364133230,119241931.61
2024-07-28,2024,30,45,990.05,31726.76,57300,25573.24,199000,29.2,3472494269,108350810.1
2024-08-04,2024,31,45,942.56,32669.32,57300,24630.68,199000,29.8,3575657606,103153484.72
2024-08-11,2024,32,45,933.9,33603.22,57300,23696.78,199000,30.3,3677872927,102205841.95
2024-08-18,2024,33,45,920.31,34523.53,57300,22776.47,199000,29.1,3778600546,100718509.26
2024-08-25,2024,34,45,894.14,35417.67,57300,21882.33,199000,27.9,3876464123,97854823.96
2024-09-01,2024,35,45,864.11,36281.78,57300,21018.22,199000,26.2,3971041274,94568743.03
2024-09-08,2024,36,45,866.98,37148.76,57300,20151.24,199000,27.6,4065932141,94882807.08
2024-09-15,2024,37,45,875.63,38024.39,57300,19275.61,199000,26.5,4161769699,95829847.93
2024-09-22,2024,38,45,877.93,38902.32,57300,18397.68,199000,22.2,4257858721,96081662.49
2024-09-29,2024,39,45,889.63,39791.95,57300,17508.05,199000,18.7,4355229200,97363475.4
2024-10-06,2024,40,45,916.47,40708.42,57300,16591.58,199000,17.8,4455536816,100300979.88
2024-10-13,2024,41,45,937.84,41646.26,57300,15653.74,199000,18.3,4558183499,102640421.3
2024-10-20,2024,42,45,902.14,42548.4,57300,14751.6,199000,14.4,4656922656,98733256.33
2024-10-27,2024,43,45,860.45,43408.85,57300,13891.15,199000,16.0,4751098770,94170557.83
2024-11-03,2024,44,45,777.0,44185.86,57300,13114.14,199000,11.4,4836141903,85037887.02
2024-11-10,2024,45,45,758.8,44944.66,57300,12355.34,199000,15.2,4919192544,83045699.09
2024-11-17,2024,46,45,680.27,45624.93,57300,11675.07,199000,6.3,4993648236,74451022.12
2024-11-24,2024,47,45,599.34,46224.27,57300,11075.73,199000,3.8,5059246021,65593354.66
2024-12-01,2024,48,45,476.48,46700.75,57300,10599.25,199000,3.2,5111396867,52146606.32
2024-12-08,2024,49,45,360.13,47060.87,57300,10239.13,199000,1.0,5150812647,39411684.03
2024-12-15,2024,50,45,375.81,47436.68,57300,9863.32,199000,-0.6,5191944768,41128175.67
2024-12-22,2024,51,45,577.17,48013.86,57300,9286.14,199000,-0.9,5255116477,63167994.89
2024-12-29,2024,52,45,891.14,48905.0,57300,8395.0,199000,2.4,5352652281,97532446.22
