일요일 날짜,년도,주차,할인율(%),이번 주 판매량,누적 판매량,목표 판매량,목표 판매량 차이,정가,기온(도),누적 매출,이번 주 보상
2024-01-07,2024,1,65,1508.78,1508.78,57300,55791.22,199000,-1.1,105086323,105058427.68
2024-01-14,2024,2,50,1194.81,2703.59,57300,54596.41,199000,1.1,223970179,223942880.42
2024-01-21,2024,3,50,1085.85,3789.44,57300,53510.56,199000,-4.9,332011801,331985045.84
2024-01-28,2024,4,50,1074.73,4864.16,57300,52435.84,199000,2.1,438947183,438920964.82
2024-02-04,2024,5,50,1119.37,5983.53,57300,51316.47,199000,2.2,550324092,550298433.56
2024-02-11,2024,6,50,1214.13,7197.66,57300,50102.34,199000,5.3,671130365,671105314.11
2024-02-18,2024,7,50,1223.08,8420.74,57300,48879.26,199000,3.6,792826883,792802443.34
2024-02-25,2024,8,50,1146.68,9567.42,57300,47732.58,199000,2.6,906921592,906897725.88
2024-03-03,2024,9,50,1056.95,10624.37,57300,46675.63,199000,4.5,1012087938,1012064600.56
2024-03-10,2024,10,50,1017.3,11641.67,57300,45658.33,199000,7.4,1113309609,1113286780.09
2024-03-17,2024,11,50,1020.5,12662.18,57300,44637.82,199000,7.9,1214849670,1214827350.74
2024-03-24,2024,12,50,1043.33,13705.51,57300,43594.49,199000,10.2,1318660884,1318639086.72
2024-03-31,2024,13,50,1050.06,14755.57,57300,42544.43,199000,13.9,1423142019,1423120746.61
2024-04-07,2024,14,50,1039.63,15795.2,57300,41504.8,199000,16.0,1526584967,1526564214.85
2024-04-14,2024,15,50,1041.16,16836.35,57300,40463.65,199000,16.4,1630179957,1630159724.69
2024-04-21,2024,16,50,1057.15,17893.51,57300,39406.49,199000,16.7,1735366868,1735347165.17
2024-04-28,2024,17,50,1063.86,18957.37,57300,38342.63,199000,19.7,1841221203,1841202031.6
2024-05-05,2024,18,50,994.78,19952.15,57300,37347.85,199000,15.8,1940201457,1940182783.45
2024-05-12,2024,19,50,953.92,20906.06,57300,36393.94,199000,17.0,2035116219,2035098021.77
2024-05-19,2024,20,50,994.8,21900.86,57300,35399.14,199000,20.7,2134098357,2134080657.71
2024-05-26,2024,21,50,1109.38,23010.23,57300,34289.77,199000,20.3,2244481295,2244464149.96
2024-06-02,2024,22,50,1291.46,24301.69,57300,32998.31,199000,22.4,2372981606,2372965106.59
2024-06-09,2024,23,50,1460.14,25761.84,57300,31538.16,199000,25.0,2518265885,2518250116.13
2024-06-16,2024,24,50,1561.72,27323.55,57300,29976.45,199000,26.5,2673656699,2673641710.28
2024-06-23,2024,25,50,1582.35,28905.9,57300,28394.1,199000,25.3,2831100282,2831086084.49
2024-06-30,2024,26,50,1548.5,30454.4,57300,26845.6,199000,24.7,2985175625,2985162202.09
2024-07-07,2024,27,50,1467.91,31922.3,57300,25377.7,199000,25.5,3131232197,3131219508.01
2024-07-14,2024,28,50,1345.17,33267.47,57300,24032.53,199000,26.8,3265076253,3265064237.2
2024-07-21,2024,29,50,1208.67,34476.14,57300,22823.86,199000,27.7,3385339155,3385327742.96
2024-07-28,2024,30,50,1109.31,35585.45,57300,21714.55,199000,29.2,3495715318,3495704460.98
2024-08-04,2024,31,50,1061.97,36647.42,57300,20652.58,199000,29.8,3601380939,3601370612.83
2024-08-11,2024,32,50,1053.45,37700.87,57300,19599.13,199000,30.3,3706199368,3706189568.9
2024-08-18,2024,33,50,1040.01,38740.87,57300,18559.13,199000,29.1,3809679984,3809670704.48
2024-08-25,2024,34,50,1013.99,39754.86,57300,17545.14,199000,27.9,3910571566,3910562793.14
2024-09-01,2024,35,50,984.11,40738.97,57300,16561.03,199000,26.2,4008490128,4008481847.84
2024-09-08,2024,36,50,987.12,41726.09,57300,15573.91,199000,27.6,4106708530,4106700743.06
2024-09-15,2024,37,50,995.92,42722.0,57300,14578.0,199000,26.5,4205802201,4205794912.01
2024-09-22,2024,38,50,998.36,43720.36,57300,13579.64,199000,22.2,4305139117,4305132326.77
2024-09-29,2024,39,50,1010.22,44730.58,57300,12569.42,199000,18.7,4405655635,4405649349.92
2024-10-06,2024,40,50,1037.2,45767.78,57300,11532.22,199000,17.8,4508856920,4508851153.43
2024-10-13,2024,41,50,1058.72,46826.5,57300,10473.5,199000,18.3,4614199270,4614194033.1
2024-10-20,2024,42,50,1023.16,47849.66,57300,9450.34,199000,14.4,4716003965,4715999240.3
2024-10-27,2024,43,50,981.62,48831.28,57300,8468.72,199000,16.0,4813675082,4813670847.62
2024-11-03,2024,44,50,898.32,49729.6,57300,7570.4,199000,11.4,4903058129,4903054344.24
2024-11-10,2024,45,50,880.26,50609.86,57300,6690.14,199000,15.2,4990644463,4990641117.47
2024-11-17,2024,46,50,801.88,51411.75,57300,5888.25,199000,6.3,5070431847,5070428902.95
2024-11-24,2024,47,50,721.1,52132.85,57300,5167.15,199000,3.8,5142181230,5142178646.64
2024-12-01,2024,48,50,598.39,52731.23,57300,4568.77,199000,3.2,5201720765,5201718480.54
2024-12-08,2024,49,50,482.18,53213.41,57300,4086.59,199000,1.0,5249697608,5249695564.81
2024-12-15,2024,50,50,498.01,53711.42,57300,3588.58,199000,-0.6,5299249403,5299247608.79
2024-12-22,2024,51,50,699.52,54410.94,57300,2889.06,199000,-0.9,5368851829,5368850384.44
2024-12-29,2024,52,50,1013.64,55424.58,57300,1875.42,199000,2.4,5469708983,5469708044.9
