,주차,카테고리,판매액,판매수량,매출원가,판매택가,실판매가,택가,할인율
0,2021-01-03,가죽&FUR_가죽점퍼_ZA,52297400,53,10846000,52947000,986743.3962264151,999000.0,0.01226887264623117
1,2021-01-03,수트_블레이져(수트)_ZA,19685400,109,5717811,35131000,180600.0,322302.752293578,0.4396572827417381
2,2021-01-03,수트_수트팬츠_ZA,12921890,128,3853581,23232000,100952.265625,181500.0,0.4437891701101928
4,2021-01-03,니트 셔츠_라운드_ZB,18981424,401,3559559,28029900,47335.22194513716,69900.0,0.3228151366933168
5,2021-01-03,수트_블레이져(수트)_ZB,29890941,194,7913293,38606000,154077.01546391752,199000.0,0.2257436408848366
6,2021-01-03,수트_수트팬츠_ZB,18916910,243,5128800,24057000,77847.36625514404,99000.0,0.2136629671197572
7,2021-01-03,스웨터_T-에리_ZB,5324670,63,618225,6293700,84518.57142857143,99900.0,0.1539682539682539
8,2021-01-03,스웨터_라운드_ZB,30091342,801,7393795,77079900,37567.21847690387,96229.58801498127,0.609608445262643
9,2021-01-03,스웨터_오픈형(CARDIGAN)_ZB,14957130,127,1861131,20307300,117772.67716535433,159900.0,0.263460430485589
10,2021-01-03,우븐 셔츠_드레스셔츠_ZB,3728040,62,367604,4333800,60129.67741935484,69900.0,0.13977571646130413
11,2021-01-03,우븐 셔츠_캐쥬얼셔츠_ZB,7432389,128,998251,8947200,58065.5390625,69900.0,0.1693055928111588
12,2021-01-03,코트_더블코트_ZB,14805000,45,1543099,14805000,329000.0,329000.0,0.0
13,2021-01-03,코트_싱글코트_ZB,19646100,79,1999797,19671000,248684.81012658228,249000.0,0.0012658227848101325
17,2021-01-03,수트_블레이져(수트)_ZB,58066516,480,13008514,95520000,120971.90833333334,199000.0,0.3921009631490787
18,2021-01-03,수트_수트팬츠_ZB,40054200,589,7360329,58311000,68003.73514431239,99000.0,0.3130935844008849
19,2021-01-03,우븐 셔츠_드레스셔츠_ZB,44692624,1076,7767337,54322400,41535.895910780666,50485.50185873606,0.1772708127770497
20,2021-01-03,수트_수트팬츠_ZB,-198000,-2,-35402,-198000,99000.0,99000.0,0.0
21,2021-01-03,조끼_패딩베스트_ZB,831601,37,332319,2923000,22475.702702702703,79000.0,0.7154974341430037
22,2021-01-03,수트_블레이져(수트)_ZC,5652700,33,1610764,8727000,171293.9393939394,264454.54545454547,0.3522745502463619
23,2021-01-03,수트_수트팬츠_ZC,2491610,28,735071,3972000,88986.07142857143,141857.14285714287,0.3727064451158107
24,2021-01-03,우븐 셔츠_드레스셔츠_ZC,590520,15,113032,598500,39368.0,39900.0,0.013333333333333334
32,2021-01-10,가죽&FUR_가죽점퍼_ZA,44542500,108,22111000,107892000,412430.55555555556,999000.0,0.58715660104549
33,2021-01-10,수트_블레이져(수트)_ZA,10073004,55,2892782,17785000,183145.52727272728,323363.63636363635,0.43362361540624117
34,2021-01-10,수트_수트팬츠_ZA,6892956,65,1980482,11995000,106045.47692307692,184538.46153846153,0.42534756148395164
36,2021-01-10,니트 셔츠_라운드_ZB,14404290,315,2796642,22018500,45727.90476190476,69900.0,0.3458096600585871
37,2021-01-10,수트_블레이져(수트)_ZB,33021760,220,9000109,43780000,150098.9090909091,199000.0,0.2457341251713111
38,2021-01-10,수트_수트팬츠_ZB,16809800,227,4785540,22473000,74051.98237885462,99000.0,0.2520001779913675
39,2021-01-10,스웨터_T-에리_ZB,27211160,363,3574950,36263700,74961.87327823692,99900.0,0.24963089811574657
40,2021-01-10,스웨터_라운드_ZB,25320840,576,5376434,56072400,43959.791666666664,97347.91666666667,0.548425963575663
41,2021-01-10,스웨터_오픈형(CARDIGAN)_ZB,7023940,80,1149882,12792000,87799.25,159900.0,0.450911507191995
42,2021-01-10,우븐 셔츠_드레스셔츠_ZB,1933890,62,367604,4333800,31191.774193548386,69900.0,0.5537657483040288
43,2021-01-10,우븐 셔츠_캐쥬얼셔츠_ZB,5284280,180,1444855,12582000,29357.11111111111,69900.0,0.5800127165792403
44,2021-01-10,점퍼_패딩점퍼_ZB,19134988,128,2474953,25472000,149492.09375,199000.0,0.2487834484924623
45,2021-01-10,코트_더블코트_ZB,7071000,45,1572259,14805000,157133.33333333334,329000.0,0.5223910840932118
46,2021-01-10,코트_싱글코트_ZB,-7550500,-21,-531592,-5229000,359547.61904761905,249000.0,-0.443966341556703
50,2021-01-10,수트_블레이져(수트)_ZB,61448100,478,16764904,95122000,128552.51046025104,199000.0,0.35400748512436664
51,2021-01-10,수트_수트팬츠_ZB,39623100,556,9389501,55044000,71264.56834532374,99000.0,0.28015587529976016
52,2021-01-10,우븐 셔츠_드레스셔츠_ZB,39019704,1102,7861677,56409800,35408.07985480944,51188.56624319419,0.3082814688227931
53,2021-01-10,팬츠_팬츠(일반)_ZB,0,0,0,0,0.0,0.0,0.0
54,2021-01-10,수트_수트팬츠_ZB,0,0,0,0,0.0,0.0,0.0
55,2021-01-10,우븐 셔츠_드레스셔츠_ZB,0,0,0,0,0.0,0.0,0.0
56,2021-01-10,조끼_패딩베스트_ZB,11606546,872,8581655,68888000,13310.259174311926,79000.0,0.8315157066542794
57,2021-01-10,수트_블레이져(수트)_ZC,6291200,41,1836106,9119000,153443.9024390244,222414.63414634147,0.3100997916438206
58,2021-01-10,수트_수트팬츠_ZC,2820500,37,843524,4223000,76229.72972972973,114135.13513513513,0.3321098744968032
59,2021-01-10,우븐 셔츠_드레스셔츠_ZC,576330,18,135638,718200,32018.333333333332,39900.0,0.19753550543024231
71,2021-01-17,가죽&FUR_가죽점퍼_ZA,23101100,79,16169000,78921000,292418.9873417721,999000.0,0.7072883009591872
72,2021-01-17,수트_블레이져(수트)_ZA,16569960,103,5320673,32857000,160873.39805825244,319000.0,0.49569467693337793
73,2021-01-17,수트_수트팬츠_ZA,9297260,109,3221681,19551000,85295.9633027523,179366.9724770642,0.5244611528822055
75,2021-01-17,니트 셔츠_라운드_ZB,3513314,164,1456031,11463600,21422.646341463416,69900.0,0.693524372797376
76,2021-01-17,수트_블레이져(수트)_ZB,54366700,358,14706902,71242000,151862.2905027933,199000.0,0.23687291204626482
77,2021-01-17,수트_수트팬츠_ZB,33719000,447,9411933,44253000,75434.00447427294,99000.0,0.2380403588457279
78,2021-01-17,스웨터_T-에리_ZB,2016947,129,1270447,12887100,15635.248062015504,99900.0,0.8434910103902351
79,2021-01-17,스웨터_라운드_ZB,48397976,1099,9704138,103810100,44038.194722474975,94458.68971792539,0.5337835528527571
80,2021-01-17,스웨터_오픈형(CARDIGAN)_ZB,403700,50,749096,7995000,8074.0,159900.0,0.9495059412132583
81,2021-01-17,우븐 셔츠_드레스셔츠_ZB,4381480,122,723350,8527800,35913.770491803276,69900.0,0.4862121531930862
82,2021-01-17,우븐 셔츠_캐쥬얼셔츠_ZB,9720620,284,2282147,19851600,34227.535211267605,69900.0,0.5103356908259284
83,2021-01-17,점퍼_패딩점퍼_ZB,12504600,94,1817544,18706000,133027.6595744681,199000.0,0.33151929862076335
84,2021-01-17,코트_더블코트_ZB,-5411000,-12,-419210,-3948000,450916.6666666667,329000.0,-0.3705673758865249
85,2021-01-17,코트_싱글코트_ZB,39707400,211,5388271,52539000,188186.7298578199,249000.0,0.24423000057100436
86,2021-01-17,데님_데님팬츠_ZB,3658470,47,551289,3755300,77839.78723404255,79900.0,0.025784890687827872
90,2021-01-17,수트_블레이져(수트)_ZB,77652310,596,20831125,118604000,130289.11073825504,199000.0,0.34528085056153246
91,2021-01-17,수트_수트팬츠_ZB,48170692,694,11570208,68706000,69410.21902017291,99000.0,0.29888667656391
92,2021-01-17,우븐 셔츠_드레스셔츠_ZB,37518580,1251,8963535,65284900,29990.871302957636,52186.17106314948,0.4253099874549857
93,2021-01-17,자켓_싱글재킷_ZB,0,0,0,0,0.0,0.0,0.0
94,2021-01-17,팬츠_팬츠(일반)_ZB,17448980,253,2556621,17684700,68968.30039525691,69900.0,0.013329035833234443
95,2021-01-17,수트_수트팬츠_ZB,0,0,0,0,0.0,0.0,0.0
96,2021-01-17,우븐 셔츠_드레스셔츠_ZB,0,0,0,0,0.0,0.0,0.0
97,2021-01-17,조끼_패딩베스트_ZB,2045878,106,1066600,8374000,19300.735849056604,79000.0,0.7556868879866253
98,2021-01-17,수트_블레이져(수트)_ZC,7462400,48,2168257,10872000,155466.66666666666,226500.0,0.31361295069904344
99,2021-01-17,수트_수트팬츠_ZC,3474500,45,1057166,5415000,77211.11111111111,120333.33333333333,0.35835641735918744
100,2021-01-17,우븐 셔츠_드레스셔츠_ZC,349950,13,97961,518700,26919.23076923077,39900.0,0.32533256217466744
112,2021-01-24,가죽&FUR_가죽점퍼_ZA,24770500,51,10429000,50949000,485696.07843137253,999000.0,0.5138177393079354
113,2021-01-24,수트_블레이져(수트)_ZA,14824867,92,4876003,29888000,161139.85869565216,324869.5652173913,0.5039859809957173
114,2021-01-24,수트_수트팬츠_ZA,8482433,106,3193219,19294000,80022.95283018867,182018.8679245283,0.5603590235306314
116,2021-01-24,니트 셔츠_라운드_ZB,45201004,961,7368138,67173900,47035.383975026016,69900.0,0.32710466416271794
117,2021-01-24,수트_블레이져(수트)_ZB,47355540,311,12743437,61889000,152268.61736334406,199000.0,0.23483106852590924
118,2021-01-24,수트_수트팬츠_ZB,25318260,333,6990121,32967000,76030.81081081081,99000.0,0.232012012012012
119,2021-01-24,스웨터_T-에리_ZB,3802605,143,1408336,14285700,26591.643356643355,99900.0,0.7338173838173838
120,2021-01-24,스웨터_라운드_ZB,61504926,1517,13534420,143948300,40543.78773895847,94890.1120632828,0.5727290561958703
121,2021-01-24,스웨터_오픈형(CARDIGAN)_ZB,7147019,109,1535456,17429100,65568.98165137615,159900.0,0.5899375756636889
122,2021-01-24,우븐 셔츠_드레스셔츠_ZB,4255380,122,723350,8527800,34880.16393442623,69900.0,0.500999085344403
123,2021-01-24,우븐 셔츠_캐쥬얼셔츠_ZB,14676457,439,3471651,30686100,33431.56492027335,69900.0,0.5217229625139721
124,2021-01-24,점퍼_패딩점퍼_ZB,8427007,90,1740202,17910000,93633.41111111111,199000.0,0.529480346175321
125,2021-01-24,코트_더블코트_ZB,3314807,22,763941,7238000,150673.04545454544,329000.0,0.5420272174633877
126,2021-01-24,코트_싱글코트_ZB,38637800,289,7364756,71961000,133694.80968858133,249000.0,0.4630730534595127
127,2021-01-24,데님_데님팬츠_ZB,5910700,78,915758,6232200,75778.20512820513,79900.0,0.051586919546869524
131,2021-01-24,수트_블레이져(수트)_ZB,65797500,569,19733184,113231000,115637.08260105448,199000.0,0.41890913265801766
132,2021-01-24,수트_수트팬츠_ZB,43125700,688,11556199,68112000,62682.70348837209,99000.0,0.3668413789053324
133,2021-01-24,우븐 셔츠_드레스셔츠_ZB,46197943,1525,10813095,76397500,30293.733114754097,50096.72131147541,0.3952950947347754
134,2021-01-24,자켓_싱글재킷_ZB,0,0,0,0,0.0,0.0,0.0
135,2021-01-24,팬츠_팬츠(일반)_ZB,6691440,110,1111574,7689000,60831.27272727273,69900.0,0.12973858759266485
