,주차,카테고리,판매액,판매수량,매출원가,판매택가,실판매가,택가,할인율,할인율2
0,2021-01-03,가죽&FUR_가죽점퍼_ZA,52297400,53,10846000,52947000,986743.3962264151,999000.0,1.226887264623117,1.2268872646231137
1,2021-01-03,수트_블레이져(수트)_ZA,19685400,109,5717811,35131000,180600.0,322302.752293578,43.965728274173806,43.965728274173806
2,2021-01-03,수트_수트팬츠_ZA,12921890,128,3853581,23232000,100952.265625,181500.0,44.37891701101928,44.37891701101928
4,2021-01-03,니트 셔츠_라운드_ZB,18981424,401,3559559,28029900,47335.22194513716,69900.0,32.28151366933167,32.28151366933168
5,2021-01-03,수트_블레이져(수트)_ZB,29890941,194,7913293,38606000,154077.01546391752,199000.0,22.57436408848366,22.574364088483655
6,2021-01-03,수트_수트팬츠_ZB,18916910,243,5128800,24057000,77847.36625514404,99000.0,21.36629671197572,21.366296711975725
7,2021-01-03,스웨터_T-에리_ZB,5324670,63,618225,6293700,84518.57142857143,99900.0,15.396825396825392,15.396825396825397
8,2021-01-03,스웨터_라운드_ZB,30091342,801,7393795,77079900,37567.21847690387,96229.58801498127,60.96084452626431,60.9608445262643
9,2021-01-03,스웨터_오픈형(CARDIGAN)_ZB,14957130,127,1861131,20307300,117772.67716535433,159900.0,26.346043048558897,26.346043048558894
10,2021-01-03,우븐 셔츠_드레스셔츠_ZB,3728040,62,367604,4333800,60129.67741935484,69900.0,13.977571646130412,13.977571646130416
11,2021-01-03,우븐 셔츠_캐쥬얼셔츠_ZB,7432389,128,998251,8947200,58065.5390625,69900.0,16.93055928111588,16.93055928111588
12,2021-01-03,코트_더블코트_ZB,14805000,45,1543099,14805000,329000.0,329000.0,0.0,0.0
13,2021-01-03,코트_싱글코트_ZB,19646100,79,1999797,19671000,248684.81012658228,249000.0,0.12658227848101325,0.12658227848101267
17,2021-01-03,수트_블레이져(수트)_ZB,58066516,480,13008514,95520000,120971.90833333334,199000.0,39.21009631490787,39.21009631490787
18,2021-01-03,수트_수트팬츠_ZB,40054200,589,7360329,58311000,68003.73514431239,99000.0,31.309358440088495,31.30935844008849
19,2021-01-03,우븐 셔츠_드레스셔츠_ZB,44692624,1076,7767337,54322400,41535.895910780666,50485.50185873606,17.727081277704972,17.72708127770496
20,2021-01-03,수트_수트팬츠_ZB,-198000,-2,-35402,-198000,99000.0,99000.0,0.0,-0.0
21,2021-01-03,조끼_패딩베스트_ZB,831601,37,332319,2923000,22475.702702702703,79000.0,71.54974341430038,71.54974341430038
22,2021-01-03,수트_블레이져(수트)_ZC,5652700,33,1610764,8727000,171293.9393939394,264454.54545454547,35.22745502463619,35.227455024636185
23,2021-01-03,수트_수트팬츠_ZC,2491610,28,735071,3972000,88986.07142857143,141857.14285714287,37.27064451158107,37.27064451158107
24,2021-01-03,우븐 셔츠_드레스셔츠_ZC,590520,15,113032,598500,39368.0,39900.0,1.3333333333333333,1.3333333333333333
32,2021-01-10,가죽&FUR_가죽점퍼_ZA,44542500,108,22111000,107892000,412430.55555555556,999000.0,58.715660104548995,58.715660104548995
33,2021-01-10,수트_블레이져(수트)_ZA,10073004,55,2892782,17785000,183145.52727272728,323363.63636363635,43.362361540624114,43.36236154062412
34,2021-01-10,수트_수트팬츠_ZA,6892956,65,1980482,11995000,106045.47692307692,184538.46153846153,42.53475614839517,42.53475614839517
36,2021-01-10,니트 셔츠_라운드_ZB,14404290,315,2796642,22018500,45727.90476190476,69900.0,34.58096600585871,34.58096600585871
37,2021-01-10,수트_블레이져(수트)_ZB,33021760,220,9000109,43780000,150098.9090909091,199000.0,24.57341251713111,24.57341251713111
38,2021-01-10,수트_수트팬츠_ZB,16809800,227,4785540,22473000,74051.98237885462,99000.0,25.200017799136745,25.20001779913674
39,2021-01-10,스웨터_T-에리_ZB,27211160,363,3574950,36263700,74961.87327823692,99900.0,24.963089811574655,24.963089811574662
40,2021-01-10,스웨터_라운드_ZB,25320840,576,5376434,56072400,43959.791666666664,97347.91666666667,54.84259635756629,54.842596357566286
41,2021-01-10,스웨터_오픈형(CARDIGAN)_ZB,7023940,80,1149882,12792000,87799.25,159900.0,45.0911507191995,45.0911507191995
42,2021-01-10,우븐 셔츠_드레스셔츠_ZB,1933890,62,367604,4333800,31191.774193548386,69900.0,55.37657483040288,55.37657483040288
