,주차,시즌,카테고리,할인율,판매액,판매수량,매출원가,판매택가
0,2021-01-03,봄,가죽&FUR_가죽점퍼_ZA,1.1305732977559602,52297400,53,10846000,52947000
1,2021-01-03,봄,니트 셔츠_라운드_ZB,32.28151366933168,18981424,401,3559559,28029900
2,2021-01-03,봄,수트_블레이져(수트)_ZA,39.44449551255358,19685400,109,5717811,35131000
3,2021-01-03,봄,수트_블레이져(수트)_ZB,-0.26513841763422974,29890941,194,7913293,38606000
4,2021-01-03,봄,수트_블레이져(수트)_ZC,22.73656101242308,5652700,33,1610764,8727000
5,2021-01-03,봄,수트_수트팬츠_ZA,39.89644274032178,12921890,128,3853581,23232000
6,2021-01-03,봄,수트_수트팬츠_ZB,20.78600154038973,18916910,243,5128800,24057000
7,2021-01-03,봄,수트_수트팬츠_ZC,24.695622895622893,2491610,28,735071,3972000
8,2021-01-03,봄,스웨터_T-에리_ZB,15.396825396825397,5324670,63,618225,6293700
9,2021-01-03,봄,스웨터_라운드_ZB,58.94172612324955,30091342,801,7393795,77079900
10,2021-01-03,봄,스웨터_오픈형(CARDIGAN)_ZB,32.23806264050167,14957130,127,1861131,20307300
11,2021-01-03,봄,우븐 셔츠_드레스셔츠_ZB,13.977571646130416,3728040,62,367604,4333800
12,2021-01-03,봄,우븐 셔츠_캐쥬얼셔츠_ZB,inf,7432389,128,998251,8947200
13,2021-01-03,봄,조끼_패딩베스트_ZB,71.54974341430038,831601,37,332319,2923000
14,2021-01-03,봄,코트_더블코트_ZB,0.0,14805000,45,1543099,14805000
15,2021-01-03,봄,코트_싱글코트_ZB,0.12658227848101267,19646100,79,1999797,19671000
16,2021-01-03,사계절,수트_블레이져(수트)_ZB,42.306337452900486,58066516,480,13008514,95520000
17,2021-01-03,사계절,수트_수트팬츠_ZB,30.499663371620397,40054200,589,7360329,58311000
18,2021-01-03,사계절,우븐 셔츠_드레스셔츠_ZB,18.926820195047636,44692624,1076,7767337,54322400
19,2021-01-03,사계절,우븐 셔츠_드레스셔츠_ZC,1.3333333333333333,590520,15,113032,598500
20,2021-01-03,여름,수트_수트팬츠_ZB,0.0,-198000,-2,-35402,-198000
21,2021-01-10,봄,가죽&FUR_가죽점퍼_ZA,60.72441931237218,44542500,108,22111000,107892000
22,2021-01-10,봄,니트 셔츠_라운드_ZB,34.58096600585871,14404290,315,2796642,22018500
23,2021-01-10,봄,수트_블레이져(수트)_ZA,42.56641289744738,10073004,55,2892782,17785000
24,2021-01-10,봄,수트_블레이져(수트)_ZB,25.09300060171407,33021760,220,9000109,43780000
25,2021-01-10,봄,수트_블레이져(수트)_ZC,31.321927470861798,6291200,41,1836106,9119000
26,2021-01-10,봄,수트_수트팬츠_ZA,39.86060404610774,6892956,65,1980482,11995000
27,2021-01-10,봄,수트_수트팬츠_ZB,26.22471776589424,16809800,227,4785540,22473000
28,2021-01-10,봄,수트_수트팬츠_ZC,33.5868498626511,2820500,37,843524,4223000
29,2021-01-10,봄,스웨터_T-에리_ZB,24.963089811574662,27211160,363,3574950,36263700
30,2021-01-10,봄,스웨터_라운드_ZB,61.922997130635245,25320840,576,5376434,56072400
31,2021-01-10,봄,스웨터_오픈형(CARDIGAN)_ZB,45.29459880679393,7023940,80,1149882,12792000
32,2021-01-10,봄,우븐 셔츠_드레스셔츠_ZB,55.37657483040288,1933890,62,367604,4333800
33,2021-01-10,봄,우븐 셔츠_캐쥬얼셔츠_ZB,76.13814696346684,5284280,180,1444855,12582000
34,2021-01-10,봄,점퍼_패딩점퍼_ZB,24.878344849246233,19134988,128,2474953,25472000
35,2021-01-10,봄,조끼_패딩베스트_ZB,83.15157066542794,11606546,872,8581655,68888000
36,2021-01-10,봄,코트_더블코트_ZB,52.239108409321176,7071000,45,1572259,14805000
37,2021-01-10,봄,코트_싱글코트_ZB,-44.3966341556703,-7550500,-21,-531592,-5229000
38,2021-01-10,사계절,수트_블레이져(수트)_ZB,28.292454365337402,61448100,478,16764904,95122000
39,2021-01-10,사계절,수트_수트팬츠_ZB,23.457319478422768,39623100,556,9389501,55044000
40,2021-01-10,사계절,우븐 셔츠_드레스셔츠_ZB,29.026480207819343,39019704,1102,7861677,56409800
41,2021-01-10,사계절,우븐 셔츠_드레스셔츠_ZC,19.75355054302423,576330,18,135638,718200
42,2021-01-10,사계절,팬츠_팬츠(일반)_ZB,0.0,0,0,0,0
43,2021-01-10,여름,수트_수트팬츠_ZB,0.0,0,0,0,0
