기획년도,주차,카테고리,라인,시즌이월,시즌,복종,소품종,성별,총입고수량,판매수량,판매액,평균택가,평균원가,총입고원가,총입고택가,매출원가계,판매택가계,주차별_평균_실판매가,월,월별_평균_실판매가,시즌별_평균_실판매가,실판매가,할인율,누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율,ROI,맑음,흐림,비,강한 비,눈,강한 눈,진눈깨비,악천후일수,평균기온(도)
2021,2021-01-03,봄_가죽&FUR_가죽점퍼_ZA,ZA,01_시즌,봄,가죽&FUR,가죽점퍼,1:남성,1600,53,52297400,999000,204500,327200000,1598400000,10838500,52947000,987706.0,1,530682.0,455693,986743.0,1.0,53,52297400,10838500,52947000,3.31,0.11,4,0,0,0,3,0,0,0,-9.1
2021,2021-01-03,사계절_우븐 셔츠_드레스셔츠_ZC,ZC,01_시즌,사계절,우븐 셔츠,드레스셔츠,1:남성,1000,15,590520,39900,7535,7535000,39900000,113025,598500,39368.0,1,30812.0,28709,39368.0,1.0,15,590520,113025,598500,1.5,0.06,4,0,0,0,3,0,0,0,-9.1
2021,2021-01-03,사계절_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,사계절,우븐 셔츠,드레스셔츠,1:남성,101915,1076,44692624,56567,7777,792558983,5764991833,8367693,60865733,45059.0,1,38629.0,32928,41536.0,27.0,1076,44692624,8367693,60865733,1.06,0.04,4,0,0,0,3,0,0,0,-9.1
2021,2021-01-03,사계절_수트_수트팬츠_ZB,ZB,01_시즌,사계절,수트,수트팬츠,1:남성,10099,589,40054200,99000,16044,162031722,999801000,9450112,58311000,68805.0,1,66125.0,67813,68004.0,31.0,589,40054200,9450112,58311000,5.83,0.17,4,0,0,0,3,0,0,0,-9.1
2021,2021-01-03,사계절_수트_블레이져(수트)_ZB,ZB,01_시즌,사계절,수트,블레이져(수트),1:남성,8419,480,58066516,199000,34632,291566808,1675381000,16623360,95520000,114810.0,1,122518.0,134016,120972.0,39.0,480,58066516,16623360,95520000,5.7,0.12,4,0,0,0,3,0,0,0,-9.1
2021,2021-01-03,봄_코트_더블코트_ZB,ZB,01_시즌,봄,코트,더블코트,1:남성,3340,45,14805000,329000,34814,116278760,1098860000,1566630,14805000,329000.0,1,243505.0,144883,329000.0,0.0,45,14805000,1566630,14805000,1.35,0.1,4,0,0,0,3,0,0,0,-9.1
2021,2021-01-03,봄_조끼_패딩베스트_ZB,ZB,01_시즌,봄,조끼,패딩베스트,1:남성,10202,37,831601,79000,10099,103029998,805958000,373663,2923000,22476.0,1,30723.0,17099,22476.0,72.0,37,831601,373663,2923000,0.36,0.0,4,0,0,0,3,0,0,0,-9.1
2021,2021-01-03,봄_우븐 셔츠_캐쥬얼셔츠_ZB,ZB,01_시즌,봄,우븐 셔츠,캐쥬얼셔츠,1:남성,14271,128,7432389,69900,8024,114510504,997542900,1027072,8947200,60804.0,1,38520.0,28867,58066.0,17.0,128,7432389,1027072,8947200,0.9,0.05,4,0,0,0,3,0,0,0,-9.1
2021,2021-01-03,봄_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,봄,우븐 셔츠,드레스셔츠,1:남성,10500,62,3728040,69900,5929,62254500,733950000,367598,4333800,60130.0,1,40055.0,30705,60130.0,14.0,62,3728040,367598,4333800,0.59,0.05,4,0,0,0,3,0,0,0,-9.1
2021,2021-01-03,봄_스웨터_오픈형(CARDIGAN)_ZB,ZB,01_시즌,봄,스웨터,오픈형(CARDIGAN),1:남성,8976,127,14957130,159900,14254,127943904,1435262400,1810258,20307300,108352.0,1,152746.0,79061,117773.0,26.0,127,14957130,1810258,20307300,1.41,0.09,4,0,0,0,3,0,0,0,-9.1
