,기간,주차,라인,성별,기획년도,시즌이월,상품년차,시즌,복종,소품종,CAT,총입고수량,총입고원가,총입고택가,총출고수량,총출고원가,총출고택가,판매액,판매수량,매출원가,판매택가,총판매액,총판매수량,총매출원가,총판매택가,물류재고수량,물류재고원가,물류재고택가,매장재고수량,매장재고원가,매장재고택가,재고수량,재고원가,재고택가,기간입고수량,기간입고원가,기간입고택가,기간출고수량,기간출고원가,기간출고택가
0,당해,20220102,ZB,1:남성,2022,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,2473,104372777,591047000,1474,62210058,352286000,4182000,28,1181738,6692000,12528359,79,3334189,18881000,999,42162719,238761000,1395,58875869,333405000,2394,101038588,572166000,0,0,0,27,1139533,6453000
1,당해,20220102,ZB,1:남성,2022,01_시즌,당해년도,사계절,팬츠,팬츠(일반),04_PANTS,33829,345034190,3379517100,15638,158541706,1562236200,17426284,309,3152942,30869100,51545505,903,9171424,90209700,18191,186492484,1817280900,14735,149370283,1472026500,32926,335862766,3289307400,0,0,0,217,2209952,21678300
2,당해,20220102,ZA,1:남성,2022,01_시즌,당해년도,사계절,소품,타이,10_ACC/ETC,1001,6516510,49949900,789,5136390,39371100,2430130,49,318990,2445100,8003960,162,1054620,8083800,212,1380120,10578800,627,4081770,31287300,839,5461890,41866100,0,0,0,36,234360,1796400
3,당해,20220102,ZC,1:남성,2022,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,1,44507,239000,0,0,0,0,0,0,0,0,0,0,0,1,44507,239000,0,0,0,1,44507,239000,0,0,0,0,0,0
4,당해,20220102,ZE,1:남성,2022,01_시즌,당해년도,봄,스웨터,라운드,03_SWEATER,9821,87799500,1177537900,9821,87799500,1177537900,0,0,0,0,0,0,0,0,0,0,0,9821,87799500,1177537900,9821,87799500,1177537900,9821,87277481,1177537900,9821,87277481,1177537900
5,당해,20220102,ZB,1:남성,2022,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,02_SHIRTS,5979,41008582,417932100,5804,39808297,405699600,4300800,111,761323,7758900,67971543,1819,12476101,127148100,169,1159132,11813100,3985,27332196,278551500,4154,28491328,290364600,0,0,0,41,281210,2865900
6,당해,20220102,ZB,1:남성,2022,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,1350,26402116,174150000,1198,23429433,154542000,5084200,52,1002737,6708000,50041371,496,9700333,63984000,152,2972683,19608000,702,13729100,90558000,854,16701783,110166000,0,0,0,53,1012969,6837000
7,당해,20220102,ZA,1:남성,2022,01_시즌,당해년도,사계절,소품,타이,10_ACC/ETC,7001,45681525,349349900,5049,32944725,251945100,6901387,138,900450,6886200,43878543,890,5807250,44411000,1952,12736800,97404800,4159,27137475,207534100,6111,39874275,304938900,0,0,0,126,822150,6287400
8,당해,20220102,ZE,1:남성,2022,01_시즌,당해년도,여름,우븐 셔츠,캐쥬얼셔츠,02_SHIRTS,4030,38743864,523497000,4030,38743864,523497000,59900,1,9614,129900,59900,1,9614,129900,0,0,0,4029,38734250,523367100,4029,38734250,523367100,0,0,0,0,0,0
9,당해,20220102,ZB,1:남성,2022,01_시즌,당해년도,사계절,수트,수트팬츠,09_SUITS,2947,49721375,380163000,2581,43546274,332949000,30944336,339,5719561,43731000,61980698,680,11472866,87720000,366,6175101,47214000,1901,32073408,245229000,2267,38248509,292443000,0,0,0,251,4234837,32379000
10,당해,20220102,ZB,1:남성,2022,01_시즌,당해년도,봄,점퍼,패딩점퍼,06_OUTER,6008,141319251,1495992000,2842,66849086,707658000,3678000,27,635090,6723000,3678000,27,635090,6723000,3166,74470165,788334000,2815,66213997,700935000,5981,140684161,1489269000,0,0,0,2842,66849086,707658000
11,당해,20220102,ZB,1:남성,2022,01_시즌,당해년도,봄,우븐 셔츠,캐쥬얼셔츠,02_SHIRTS,2837,22252660,198306300,1852,14526586,129454800,2855040,55,412979,3844500,2855040,55,431405,3844500,985,7726074,68851500,1797,14095180,125610300,2782,21821254,194461800,0,0,0,1852,13524729,129454800
12,당해,20220102,ZB,3:남녀공용,2022,01_시즌,당해년도,봄,니트 셔츠,후드티,01_KNIT,18963,225484861,1704773700,6513,77379935,585518700,1418100,36,424118,3236400,1418100,36,427208,3236400,12450,148104926,1119255000,6477,76952727,582282300,18927,225057653,1701537300,0,0,0,6513,76592440,585518700
13,당해,20220102,ZA,3:남녀공용,2022,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),03_SWEATER,981,14033818,196101900,606,8669209,121139400,5030760,35,500697,6996500,5030760,35,500697,6996500,375,5364609,74962500,571,8168512,114142900,946,13533121,189105400,0,0,0,606,8669209,121139400
14,당해,20220102,ZA,1:남성,2022,01_시즌,당해년도,사계절,소품,타이,10_ACC/ETC,4533,28648560,180866700,2898,18315360,115630200,4616380,120,758400,4788000,11750450,303,1914960,12089700,1635,10333200,65236500,2595,16400400,103540500,4230,26733600,168777000,0,0,0,96,606720,3830400
15,당해,20220102,ZB,1:남성,2022,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,5,108613,645000,0,0,0,0,0,0,0,0,0,0,0,5,108613,645000,0,0,0,5,108613,645000,0,0,0,0,0,0
