카테고리_통합,기준1_순위,기준2_순위,기준3_순위,최종_순위,총판매수량,총매출,총입고수량,최대누적판매율,평균할인율,마지막 주차 할인율,시즌 종료 할인율 증가량,가격 탄력성(할인율-판매량 상관관계),가격 탄력성(판매량변화율/가격변화율),총매출_순위,총입고_순위,최대누적판매율_순위,평균할인율_순위,시즌 종료 할인율 증가량_순위,가격탄력성(상관계수) 순위,가격탄력성(판매량변화율) 순위
여름_캐주얼셔츠,2,5,2,1,97697,2959959897,158857,61.5,62.0,76,-2.0,0.67,-0.04,5,1,12,4,10,3,9
여름_팬츠,7,11,1,2,78720,2886590147,118291,66.55,57.31,73,-1.0,0.67,-5.15,9,5,16,10,9,3,6
여름_반팔티셔츠,5,8,7,3,107211,2923225342,137229,78.13,64.93,81,0.0,0.54,-2.35,7,3,21,2,8,8,7
여름_자켓,7,14,5,4,20913,3129651456,30109,69.46,47.76,67,1.0,0.2,-1038.68,3,11,19,13,7,13,1
사계절_셋업셔츠,3,8,15,4,87208,2948580508,147470,59.14,51.0,55,-2.0,0.27,10.79,6,2,10,11,10,12,14
사계절_가성비 수트셋업,1,21,4,4,76589,8830897666,120246,63.69,39.36,48,-7.0,0.74,5.08,1,4,13,18,19,1,12
봄_가디건,19,2,8,7,6606,415030305,13201,50.04,60.0,81,3.0,0.65,3.54,19,19,5,6,5,5,11
가을_가성비 수트셋업,9,14,8,8,21115,2922341852,31018,68.07,34.5,54,9.0,0.2,-25.66,8,10,18,20,1,13,3
가을_팬츠,17,4,10,8,10475,543351816,22020,47.57,41.86,65,7.0,0.64,3.03,17,16,3,16,3,7,10
여름_반팔스웨터,5,18,11,10,77779,3003857821,93167,83.48,58.0,65,-4.0,0.45,-2.16,4,6,22,8,15,11,8
여름_고가 수트셋업,13,20,2,11,14726,2372105222,24088,61.13,39.28,39,-6.0,0.48,-26.76,10,15,11,19,17,10,2
봄_맨투맨셋업,19,1,16,12,7305,351652757,16991,42.99,59.52,82,7.0,0.05,20.02,20,18,1,7,3,17,17
봄_스웨터,11,3,22,12,15788,755273474,31090,50.78,62.19,81,-2.0,-0.44,79.09,15,9,6,3,10,20,20
가을_이너,22,10,5,14,3629,112643778,6310,57.51,50.38,65,-3.0,0.52,-9.09,22,22,9,12,13,9,5
여름_반바지,15,11,12,15,17378,480094072,27011,64.34,60.56,69,-5.0,0.65,19.63,18,12,14,5,16,5,16
가을_캐주얼셔츠,21,5,12,15,6249,252576620,11824,52.85,41.48,72,8.0,0.73,53.17,21,20,7,17,2,2,19
여름_디자인팬츠,10,17,14,17,23598,1788983082,35860,65.81,45.29,65,-3.0,0.04,-11.69,12,8,15,14,13,18,4
봄_가성비 수트셋업,11,13,18,18,14809,2242079594,26563,55.75,26.14,32,2.0,-0.66,5.35,11,13,8,22,6,22,13
봄_아우터,18,5,21,19,4713,653982704,9884,47.68,74.86,89,-11.0,0.18,397.61,16,21,4,1,21,16,22
사계절_데님셋업,14,14,16,19,11571,801892010,26147,44.54,43.87,45,-19.0,0.2,81.22,14,14,2,15,22,13,21
여름_가성비 수트셋업,4,22,20,21,46178,6940308996,64790,71.27,29.61,28,-6.0,-0.27,49.65,2,7,20,21,17,19,18
여름_점퍼,15,18,19,22,12873,1690349002,19166,67.17,57.5,67,-7.0,-0.51,11.38,13,17,17,9,19,21,15
