,시즌,복종,소품종,라인,시즌이월,카테고리,주차,총입고수량,총입고원가,총입고택가,판매수량,판매액,매출원가,판매택가,제품원가,제품택가,평균판매수량,평균실판가,제품실판가,할인율(%),누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율(%),ROI
0,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-07-11,10931,90858472,764076900,0,0.0,0.0,0.0,8312.0,69900.0,380.0,31563.0,,,0,0.0,0.0,0.0,0.0,0.0
1,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-07-18,10931,90858472,764076900,56,3131520.0,466312.0,3914400.0,8312.0,69900.0,380.0,31563.0,55920.0,20.0,56,3131520.0,466312.0,3914400.0,0.0,0.03
2,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-07-25,10931,90858472,764076900,-7,-506220.0,-59024.0,-489300.0,8312.0,69900.0,380.0,31563.0,72317.0,-3.0,49,2625300.0,407288.0,3425100.0,0.0,0.02
3,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-08-01,35541,251528579,2484315900,-26,-1530810.0,-216112.0,-1817400.0,7077.0,69900.0,380.0,31563.0,58877.0,16.0,23,1094490.0,191176.0,1607700.0,0.0,0.0
4,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-08-08,42541,311300869,2973615900,425,23612190.0,3095254.0,29707500.0,7318.0,69900.0,380.0,31563.0,55558.0,21.0,448,24706680.0,3286430.0,31315200.0,0.0,0.06
5,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-08-15,42541,311300869,2973615900,-45,-2965012.0,-405165.0,-3145500.0,7318.0,69900.0,380.0,31563.0,65889.0,6.0,403,21741668.0,2881265.0,28169700.0,0.0,0.05
6,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-08-22,42541,311300869,2973615900,281,8877034.0,2150295.0,19641900.0,7318.0,69900.0,380.0,31563.0,31591.0,55.0,684,30618702.0,5031560.0,47811600.0,0.0,0.07
7,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-08-29,42541,311300869,2973615900,499,13556520.0,3952941.0,34880100.0,7318.0,69900.0,380.0,31563.0,27167.0,61.0,1183,44175222.0,8984501.0,82691700.0,0.0,0.1
8,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-09-05,42541,311362627,2973615900,879,30539711.0,6754699.0,61442100.0,7319.0,69900.0,380.0,31563.0,34744.0,50.0,2062,74714933.0,15739200.0,144133800.0,0.0,0.17
9,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-09-12,42541,311362627,2973615900,1450,43399671.0,11023198.0,101355000.0,7319.0,69900.0,380.0,31563.0,29931.0,57.0,3512,118114604.0,26762398.0,245488800.0,0.0,0.26
10,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-09-19,42541,311362627,2973615900,1694,52956812.0,12836811.0,118410600.0,7319.0,69900.0,380.0,31563.0,31261.0,55.0,5206,171071416.0,39599209.0,363899400.0,0.0,0.37
11,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-09-26,42541,311362627,2973615900,1955,58905389.0,14734138.0,136654500.0,7319.0,69900.0,380.0,31563.0,30131.0,57.0,7161,229976805.0,54333347.0,500553900.0,0.0,0.5
12,가을,니트 셔츠,라운드,ZB,01_시즌,가을_니트 셔츠_라운드_ZB,2021-10-03,42541,311362627,2973615900,1743,49164964.0,12823233.0,121835700.0,7319.0,69900.0,380.0,31563.0,28207.0,60.0,8904,279141769.0,67156580.0,622389600.0,0.0,0.6
