기획년도,주차,카테고리,라인,시즌이월,시즌,복종,소품종,성별,총입고수량,판매수량,판매액,평균택가,평균원가,총입고원가,총입고택가,매출원가계,판매택가계,주차별_평균_실판매가,월,월별_평균_실판매가,시즌별_평균_실판매가,실판매가,할인율,누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율,ROI
2021,2021-01-03,봄_가죽&FUR_가죽점퍼_ZA,ZA,01_시즌,봄,가죽&FUR,가죽점퍼,1:남성,1600,53,52297400,999000,204500,327200000,1598400000,10838500,52947000,987706.0,1,530682.0,455693.0,986743.0,1.0,53,52297400,10838500,52947000,3.31,0.11
2021,2021-01-03,봄_니트 셔츠_라운드_ZB,ZB,01_시즌,봄,니트 셔츠,라운드,1:남성,20076,401,18981424,69900,8878,178234728,1403312400,3560078,28029900,47335.0,1,41774.0,27610.0,47335.0,32.0,401,18981424,3560078,28029900,2.0,0.08
2021,2021-01-03,봄_니트 셔츠_라운드_ZE,ZE,01_시즌,봄,니트 셔츠,라운드,1:남성,17148,7,214516,69900,6179,105957492,1198645200,43253,489300,30645.0,1,24673.0,20712.0,30645.0,56.0,7,214516,43253,489300,0.04,0.0
2021,2021-01-03,봄_수트_블레이져(수트)_ZA,ZA,01_시즌,봄,수트,블레이져(수트),1:남성,4378,109,19685400,339000,56150,245826159,1484142000,6120386,36951000,207972.0,1,188353.0,150188.0,180600.0,47.0,109,19685400,6120386,36951000,2.49,0.05
2021,2021-01-03,봄_수트_블레이져(수트)_ZB,ZB,01_시즌,봄,수트,블레이져(수트),1:남성,8372,194,29890941,199000,40583,339762550,1666028000,7873141,38606000,199528.0,1,160160.0,128110.0,154077.0,23.0,194,29890941,7873141,38606000,2.32,0.06
2021,2021-01-03,봄_수트_블레이져(수트)_ZC,ZC,01_시즌,봄,수트,블레이져(수트),1:남성,2868,33,5652700,239000,46064,132112508,685452000,1520123,7887000,175804.0,1,160403.0,133058.0,171294.0,28.0,33,5652700,1520123,7887000,1.15,0.03
2021,2021-01-03,봄_수트_수트팬츠_ZA,ZA,01_시즌,봄,수트,수트팬츠,1:남성,5257,128,12921890,192333,32121,168858345,1011096333,4111445,24618667,117519.0,1,104290.0,82035.0,100952.0,48.0,128,12921890,4111445,24618667,2.43,0.05
2021,2021-01-03,봄_수트_수트팬츠_ZB,ZB,01_시즌,봄,수트,수트팬츠,1:남성,10050,243,18916910,99000,20850,209542500,994950000,5066550,24057000,78422.0,1,74954.0,62818.0,77847.0,21.0,243,18916910,5066550,24057000,2.42,0.06
2021,2021-01-03,봄_수트_수트팬츠_ZC,ZC,01_시즌,봄,수트,수트팬츠,1:남성,3438,28,2491610,125667,23973,82418028,432042000,671235,3518667,89467.0,1,79459.0,66706.0,88986.0,29.0,28,2491610,671235,3518667,0.81,0.02
2021,2021-01-03,봄_스웨터_T-에리_ZB,ZB,01_시즌,봄,스웨터,T-에리,1:남성,9971,63,5324670,99900,9848,98194408,996102900,620424,6293700,84519.0,1,48735.0,38264.0,84519.0,15.0,63,5324670,620424,6293700,0.63,0.04
2021,2021-01-03,봄_스웨터_VEST_ZE,ZE,01_시즌,봄,스웨터,VEST,1:남성,3463,6,195887,99900,8411,29127293,345953700,50466,599400,32648.0,1,28887.0,23534.0,32648.0,67.0,6,195887,50466,599400,0.17,0.0
2021,2021-01-03,봄_스웨터_라운드_ZB,ZB,01_시즌,봄,스웨터,라운드,1:남성,39623,801,30091342,94900,8929,353793767,3760222700,7152129,76014900,38643.0,1,40590.0,37620.0,37567.0,60.0,801,30091342,7152129,76014900,2.02,0.06
2021,2021-01-03,봄_스웨터_라운드_ZD,ZD,01_시즌,봄,스웨터,라운드,1:남성,1603,0,0,89900,9315,14931945,144109700,0,0,,1,26250.0,26250.0,26250.0,71.0,0,0,0,0,0.0,0.0
2021,2021-01-03,봄_스웨터_라운드_ZE,ZE,01_시즌,봄,스웨터,라운드,1:남성,17139,28,1185956,119900,8370,143453430,2054966100,234360,3357200,42356.0,1,34919.0,27943.0,42356.0,65.0,28,1185956,234360,3357200,0.16,0.01
2021,2021-01-03,봄_스웨터_오픈형(CARDIGAN)_ZB,ZB,01_시즌,봄,스웨터,오픈형(CARDIGAN),1:남성,8976,127,14957130,159900,14254,127943904,1435262400,1810258,20307300,108352.0,1,152746.0,79061.0,117773.0,26.0,127,14957130,1810258,20307300,1.41,0.09
2021,2021-01-03,봄_우븐 셔츠_드레스셔츠_ZB,ZB,01_시즌,봄,우븐 셔츠,드레스셔츠,1:남성,10500,62,3728040,69900,5929,62254500,733950000,367598,4333800,60130.0,1,40055.0,30705.0,60130.0,14.0,62,3728040,367598,4333800,0.59,0.05
2021,2021-01-03,봄_우븐 셔츠_드레스셔츠_ZE,ZE,01_시즌,봄,우븐 셔츠,드레스셔츠,1:남성,33674,140,2659871,79900,5213,175531337,2690552600,729773,11186000,18687.0,1,18343.0,16385.0,18999.0,76.0,140,2659871,729773,11186000,0.42,0.01
2021,2021-01-03,봄_우븐 셔츠_캐쥬얼셔츠_ZB,ZB,01_시즌,봄,우븐 셔츠,캐쥬얼셔츠,1:남성,14271,128,7432389,69900,8024,114510504,997542900,1027072,8947200,60804.0,1,38520.0,28867.0,58066.0,17.0,128,7432389,1027072,8947200,0.9,0.05
2021,2021-01-03,봄_우븐 셔츠_캐쥬얼셔츠_ZD,ZD,01_시즌,봄,우븐 셔츠,캐쥬얼셔츠,1:남성,284,0,0,69900,8987,2552308,19851600,0,0,,1,48930.0,39845.0,48930.0,30.0,0,0,0,0,0.0,0.0
2021,2021-01-03,봄_조끼_패딩베스트_ZB,ZB,01_시즌,봄,조끼,패딩베스트,1:남성,10202,37,831601,79000,10099,103029998,805958000,373663,2923000,22476.0,1,30723.0,17099.0,22476.0,72.0,37,831601,373663,2923000,0.36,0.0
2021,2021-01-03,봄_코트_더블코트_ZB,ZB,01_시즌,봄,코트,더블코트,1:남성,3340,45,14805000,329000,34814,116278760,1098860000,1566630,14805000,329000.0,1,243505.0,144883.0,329000.0,0.0,45,14805000,1566630,14805000,1.35,0.1
2021,2021-01-03,봄_코트_더블코트_ZE,ZE,01_시즌,봄,코트,더블코트,1:남성,1977,0,0,399000,36613,72383901,788823000,0,0,,1,126554.0,99031.0,126554.0,68.0,0,0,0,0,0.0,0.0
2021,2021-01-03,봄_코트_싱글코트_ZB,ZB,01_시즌,봄,코트,싱글코트,1:남성,3503,79,19646100,249000,25314,88674942,872247000,1999806,19671000,248685.0,1,178906.0,119035.0,248685.0,0.0,79,19646100,1999806,19671000,2.26,0.18
2021,2021-01-03,사계절_소품_벨트_ZB,ZB,01_시즌,사계절,소품,벨트,1:남성,8650,184,7443910,39900,7684,66462275,345135000,1413764,7341600,38215.0,1,37842.0,38165.0,40456.0,-1.0,184,7443910,1413764,7341600,2.13,0.08
2021,2021-01-03,사계절_소품_신발_ZB,ZB,01_시즌,사계절,소품,신발,1:남성,3110,57,8938410,159900,40000,124400000,497289000,2280000,9114300,156814.0,1,157360.0,153362.0,156814.0,2.0,57,8938410,2280000,9114300,1.83,0.05
2021,2021-01-03,사계절_소품_양말_ZB,ZB,01_시즌,사계절,소품,양말,1:남성,14000,617,2033156,3300,820,11480000,46200000,505940,2036100,3295.0,1,3288.0,7095.0,3295.0,0.0,617,2033156,505940,2036100,4.41,0.12
2021,2021-01-03,사계절_소품_타이_ZA,ZA,01_시즌,사계절,소품,타이,1:남성,33551,636,28244965,44900,6421,215419787,1506439900,4083544,28556400,43915.0,1,40019.0,43051.0,44410.0,1.0,636,28244965,4083544,28556400,1.9,0.1
