기획년도,주차,카테고리,판매수량,판매액,평균 택가,평균 원가,주차별 평균 실판매가,월,월별 평균 실판매가,년도별 평균 실판매가,실판매가,할인율,시즌이월,매출원가계,판매택가계,누적판매수량,누적판매액,누적매출원가,누적판매택가
2021,2021-01-03,봄_가죽&FUR_가죽점퍼_ZA,53,52297400,999000.0,204500.0,987706.0,1,530682.0,455750.0,986743.0,1.0,01_시즌,10838500.0,52947000.0,53,52297400,10838500.0,52947000.0
2021,2021-01-03,봄_니트 셔츠_라운드_ZB,401,18981424,69900.0,8878.0,47335.0,1,41774.0,24107.0,47335.0,32.0,01_시즌,3560078.0,28029900.0,401,18981424,3560078.0,28029900.0
2021,2021-01-03,봄_수트_블레이져(수트)_ZA,109,19685400,339000.0,56150.0,207972.0,1,188353.0,166517.0,180600.0,47.0,01_시즌,6120350.0,36951000.0,109,19685400,6120350.0,36951000.0
2021,2021-01-03,봄_수트_블레이져(수트)_ZB,194,29890941,199000.0,40583.0,199528.0,1,160160.0,125211.0,154077.0,23.0,01_시즌,7873102.0,38606000.0,194,29890941,7873102.0,38606000.0
2021,2021-01-03,봄_수트_블레이져(수트)_ZC,33,5652700,239000.0,46064.0,175804.0,1,160403.0,124769.0,171294.0,28.0,01_시즌,1520112.0,7887000.0,33,5652700,1520112.0,7887000.0
2021,2021-01-03,봄_수트_수트팬츠_ZA,128,12921890,192333.0,32121.0,117519.0,1,104290.0,91701.0,100952.0,48.0,01_시즌,4111488.0,24618624.0,128,12921890,4111488.0,24618624.0
2021,2021-01-03,봄_수트_수트팬츠_ZB,243,18916910,99000.0,20850.0,78422.0,1,74954.0,64274.0,77847.0,21.0,01_시즌,5066550.0,24057000.0,243,18916910,5066550.0,24057000.0
2021,2021-01-03,봄_수트_수트팬츠_ZC,28,2491610,125667.0,23973.0,89467.0,1,79459.0,62248.0,88986.0,29.0,01_시즌,671244.0,3518676.0,28,2491610,671244.0,3518676.0
2021,2021-01-03,봄_스웨터_T-에리_ZB,63,5324670,99900.0,9848.0,84519.0,1,48735.0,34775.0,84519.0,15.0,01_시즌,620424.0,6293700.0,63,5324670,620424.0,6293700.0
2021,2021-01-03,봄_스웨터_라운드_ZB,801,30091342,94900.0,8929.0,38643.0,1,40590.0,34180.0,37567.0,60.0,01_시즌,7152129.0,76014900.0,801,30091342,7152129.0,76014900.0
2021,2021-01-03,봄_스웨터_오픈형(CARDIGAN)_ZB,127,14957130,159900.0,14254.0,108352.0,1,152746.0,62254.0,117773.0,26.0,01_시즌,1810258.0,20307300.0,127,14957130,1810258.0,20307300.0
2021,2021-01-03,봄_우븐 셔츠_드레스셔츠_ZB,62,3728040,69900.0,5929.0,60130.0,1,40055.0,28275.0,60130.0,14.0,01_시즌,367598.0,4333800.0,62,3728040,367598.0,4333800.0
2021,2021-01-03,봄_우븐 셔츠_캐쥬얼셔츠_ZB,128,7432389,69900.0,8024.0,60804.0,1,38520.0,26888.0,58066.0,17.0,01_시즌,1027072.0,8947200.0,128,7432389,1027072.0,8947200.0
2021,2021-01-03,봄_조끼_패딩베스트_ZB,37,831601,79000.0,10099.0,22476.0,1,30723.0,16201.0,22476.0,72.0,01_시즌,373663.0,2923000.0,37,831601,373663.0,2923000.0
2021,2021-01-03,봄_코트_더블코트_ZB,45,14805000,329000.0,34814.0,329000.0,1,243505.0,107074.0,329000.0,0.0,01_시즌,1566630.0,14805000.0,45,14805000,1566630.0,14805000.0
2021,2021-01-03,봄_코트_싱글코트_ZB,79,19646100,249000.0,25314.0,248685.0,1,178906.0,100021.0,248685.0,0.0,01_시즌,1999806.0,19671000.0,79,19646100,1999806.0,19671000.0
2021,2021-01-03,사계절_수트_블레이져(수트)_ZB,480,58066516,199000.0,34632.0,114810.0,1,122518.0,134016.0,120972.0,39.0,01_시즌,16623360.0,95520000.0,480,58066516,16623360.0,95520000.0
2021,2021-01-03,사계절_수트_수트팬츠_ZB,589,40054200,99000.0,16044.0,68805.0,1,66125.0,67813.0,68004.0,31.0,01_시즌,9449916.0,58311000.0,589,40054200,9449916.0,58311000.0
2021,2021-01-03,사계절_우븐 셔츠_드레스셔츠_ZB,1076,44692624,56567.0,7777.0,45059.0,1,38629.0,32928.0,41536.0,27.0,01_시즌,8368052.0,60866092.0,1076,44692624,8368052.0,60866092.0
2021,2021-01-03,사계절_우븐 셔츠_드레스셔츠_ZC,15,590520,39900.0,7535.0,39368.0,1,30812.0,28709.0,39368.0,1.0,01_시즌,113025.0,598500.0,15,590520,113025.0,598500.0
2021,2021-01-10,봄_가죽&FUR_가죽점퍼_ZA,108,44542500,999000.0,204500.0,392363.0,1,530682.0,455750.0,412431.0,59.0,01_시즌,22086000.0,107892000.0,161,96839900,32924500.0,160839000.0
2021,2021-01-10,봄_니트 셔츠_라운드_ZB,315,14404290,69900.0,7574.0,45728.0,1,41774.0,24107.0,45728.0,35.0,01_시즌,2385810.0,22018500.0,716,33385714,5945888.0,50048400.0
2021,2021-01-10,봄_수트_블레이져(수트)_ZA,55,10073004,319000.0,53744.0,194713.0,1,188353.0,166517.0,183146.0,43.0,01_시즌,2955920.0,17545000.0,164,29758404,9076270.0,54496000.0
2021,2021-01-10,봄_수트_블레이져(수트)_ZB,220,33021760,199000.0,40583.0,149065.0,1,160160.0,125211.0,150099.0,25.0,01_시즌,8928260.0,43780000.0,414,62912701,16801362.0,82386000.0
2021,2021-01-10,봄_수트_블레이져(수트)_ZC,41,6291200,239000.0,46064.0,157551.0,1,160403.0,124769.0,153444.0,36.0,01_시즌,1888624.0,9799000.0,74,11943900,3408736.0,17686000.0
2021,2021-01-10,봄_수트_수트팬츠_ZA,65,6892956,179000.0,30103.0,116568.0,1,104290.0,91701.0,106045.0,41.0,01_시즌,1956695.0,11635000.0,193,19814846,6068183.0,36253624.0
2021,2021-01-10,봄_수트_수트팬츠_ZB,227,16809800,99000.0,20850.0,73038.0,1,74954.0,64274.0,74052.0,25.0,01_시즌,4732950.0,22473000.0,470,35726710,9799500.0,46530000.0
2021,2021-01-10,봄_수트_수트팬츠_ZC,37,2820500,125667.0,23973.0,77910.0,1,79459.0,62248.0,76230.0,39.0,01_시즌,887001.0,4649679.0,65,5312110,1558245.0,8168355.0
2021,2021-01-10,봄_스웨터_T-에리_ZB,363,27211160,99900.0,9848.0,74962.0,1,48735.0,34775.0,74962.0,25.0,01_시즌,3574824.0,36263700.0,426,32535830,4195248.0,42557400.0
2021,2021-01-10,봄_스웨터_라운드_ZB,576,25320840,94900.0,8929.0,36804.0,1,40590.0,34180.0,43960.0,54.0,01_시즌,5143104.0,54662400.0,1377,55412182,12295233.0,130677300.0
2021,2021-01-10,봄_스웨터_오픈형(CARDIGAN)_ZB,80,7023940,159900.0,14254.0,87474.0,1,152746.0,62254.0,87799.0,45.0,01_시즌,1140320.0,12792000.0,207,21981070,2950578.0,33099300.0
2021,2021-01-10,봄_우븐 셔츠_드레스셔츠_ZB,62,1933890,69900.0,5929.0,31192.0,1,40055.0,28275.0,31192.0,55.0,01_시즌,367598.0,4333800.0,124,5661930,735196.0,8667600.0
2021,2021-01-10,봄_우븐 셔츠_캐쥬얼셔츠_ZB,180,5284280,69900.0,8024.0,36010.0,1,38520.0,26888.0,29357.0,58.0,01_시즌,1444320.0,12582000.0,308,12716669,2471392.0,21529200.0
2021,2021-01-10,봄_점퍼_패딩점퍼_ZB,128,19134988,199000.0,19336.0,149492.0,1,119480.0,89466.0,149492.0,25.0,01_시즌,2475008.0,25472000.0,128,19134988,2475008.0,25472000.0
2021,2021-01-10,봄_조끼_패딩베스트_ZB,872,11606546,79000.0,10099.0,13310.0,1,30723.0,16201.0,13310.0,83.0,01_시즌,8806328.0,68888000.0,909,12438147,9179991.0,71811000.0
2021,2021-01-10,봄_코트_더블코트_ZB,45,7071000,329000.0,34814.0,157133.0,1,243505.0,107074.0,157133.0,52.0,01_시즌,1566630.0,14805000.0,90,21876000,3133260.0,29610000.0
2021,2021-01-10,봄_코트_싱글코트_ZB,-21,-7550500,249000.0,25439.0,359548.0,1,178906.0,100021.0,359548.0,-44.0,01_시즌,-534219.0,-5229000.0,58,12095600,1465587.0,14442000.0
2021,2021-01-10,사계절_수트_블레이져(수트)_ZB,478,61448100,199000.0,36269.0,142698.0,1,122518.0,134016.0,128553.0,35.0,01_시즌,17336582.0,95122000.0,958,119514616,33959942.0,190642000.0
2021,2021-01-10,사계절_수트_수트팬츠_ZB,556,39623100,99000.0,17094.0,75777.0,1,66125.0,67813.0,71265.0,28.0,01_시즌,9504264.0,55044000.0,1145,79677300,18954180.0,113355000.0
2021,2021-01-10,사계절_우븐 셔츠_드레스셔츠_ZB,1102,39019704,56567.0,7777.0,39702.0,1,38629.0,32928.0,35408.0,37.0,01_시즌,8570254.0,62336834.0,2178,83712328,16938306.0,123202926.0
2021,2021-01-10,사계절_우븐 셔츠_드레스셔츠_ZC,18,576330,39900.0,7535.0,32018.0,1,30812.0,28709.0,32018.0,20.0,01_시즌,135630.0,718200.0,33,1166850,248655.0,1316700.0
2021,2021-01-10,사계절_팬츠_팬츠(일반)_ZB,0,0,69900.0,10105.0,,1,57987.0,41957.0,57987.0,17.0,01_시즌,0.0,0.0,0,0,0.0,0.0
2021,2021-01-10,여름_우븐 셔츠_드레스셔츠_ZB,0,0,69900.0,6329.0,,1,,23706.0,23706.0,66.0,01_시즌,0.0,0.0,0,0,0.0,0.0
2021,2021-01-17,봄_가죽&FUR_가죽점퍼_ZA,79,23101100,999000.0,204500.0,294492.0,1,530682.0,455750.0,292419.0,71.0,01_시즌,16155500.0,78921000.0,240,119941000,49080000.0,239760000.0
2021,2021-01-17,봄_니트 셔츠_라운드_ZB,164,3513314,69900.0,7574.0,21423.0,1,41774.0,24107.0,21423.0,69.0,01_시즌,1242136.0,11463600.0,880,36899028,7188024.0,61512000.0
