기획년도,주차,카테고리_통합,시즌이월,시즌,총입고수량,판매수량,판매액,평균택가,평균원가,주차별_평균_실판매가,월별_평균_실판매가,시즌별_평균_실판매가,총입고원가,총입고택가,매출원가계,판매택가계,실판매가,할인율,누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율,ROI,악천후일수,평균기온(도)
2021,2021-01-03,봄_가디건,01_시즌,봄,8976,127,14957130,159900,14254,108352.0,152746.0,79061.0,127943904,1435262400,1810258,20307300,117773,26,127,14957130,1810258,20307300,1.41,0.09,0,-9.1
2021,2021-01-03,봄_가성비 수트셋업,01_시즌,봄,24728,498,56952161,165667,32868,135805.0,118744.0,97673.0,812759904,4096613576,16368264,82502166,114362,31,498,56952161,16368264,82502166,2.01,0.04,0,-9.1
2021,2021-01-03,봄_고가 수트셋업,01_시즌,봄,9635,237,32607290,265666,44136,162746.0,146322.0,116112.0,425250360,2559691910,10460232,62962842,137584,48,237,32607290,10460232,62962842,2.46,0.05,0,-9.1
2021,2021-01-03,봄_맨투맨셋업,01_시즌,봄,20076,401,18981424,69900,8878,47335.0,41774.0,27610.0,178234728,1403312400,3560078,28029900,47335,32,401,18981424,3560078,28029900,2.0,0.08,0,-9.1
2021,2021-01-03,봄_셋업셔츠,01_시즌,봄,24771,190,11160429,69900,6976,60467.0,39288.0,29786.0,172802496,1731492900,1325440,13281000,58739,16,190,11160429,1325440,13281000,0.77,0.05,0,-9.1
2021,2021-01-03,봄_스웨터,01_시즌,봄,49594,864,35416012,97400,9388,61581.0,44662.0,37942.0,465588472,4830455600,8111232,84153600,40991,58,864,35416012,8111232,84153600,1.74,0.05,0,-9.1
2021,2021-01-03,봄_아우터,01_시즌,봄,18645,214,87580101,414000,68682,396967.0,245954.0,184178.0,1280575890,7719030000,14697948,88596000,409253,1,214,87580101,14697948,88596000,1.15,0.05,0,-9.1
2021,2021-01-03,사계절_가성비 수트셋업,01_시즌,사계절,18518,1069,98120716,149000,25338,91808.0,94322.0,100914.0,469209084,2759182000,27086322,159281000,91787,38,1069,98120716,27086322,159281000,5.77,0.13,0,-9.1
2021,2021-01-03,사계절_셋업셔츠,01_시즌,사계절,102915,1091,45283144,48234,7656,42214.0,34720.0,30818.0,787917240,4964002110,8352696,52623294,41506,14,1091,45283144,8352696,52623294,1.06,0.04,0,-9.1
2021,2021-01-10,봄_가디건,01_시즌,봄,8976,80,7023940,159900,14254,87474.0,152746.0,79061.0,127943904,1435262400,1140320,12792000,87799,45,207,21981070,2950578,33099300,2.31,0.13,0,-2.1
2021,2021-01-10,봄_가성비 수트셋업,01_시즌,봄,24728,525,58943260,165667,32868,114391.0,118744.0,97673.0,812759904,4096613576,17255700,86975175,112273,32,1023,115895421,33623964,169477341,4.14,0.09,0,-2.1
2021,2021-01-10,봄_고가 수트셋업,01_시즌,봄,12924,120,16965960,249000,41924,155640.0,146322.0,116112.0,541825776,3218076000,5030880,29880000,141383,43,357,49573250,15491112,92842842,2.76,0.05,0,-2.1
