Unnamed: 0,주차,라인,성별,기획년도,시즌이월,상품년차,시즌,복종,소품종,카테고리,할인율,판매액,판매수량,매출원가,판매택가
3,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,32.28151366933168,18981424,401,3559559,28029900
4,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,-0.2651384176342297,29890941,194,7913293,38606000
5,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,20.78600154038973,18916910,243,5128800,24057000
6,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,15.396825396825395,5324670,63,618225,6293700
7,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,스웨터_라운드_ZB,58.94172612324955,30091342,801,7393795,77079900
8,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),스웨터_오픈형(CARDIGAN)_ZB,32.23806264050167,14957130,127,1861131,20307300
9,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,13.977571646130416,3728040,62,367604,4333800
12,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,코트_싱글코트_ZB,0.1265822784810126,19646100,79,1999797,19671000
13,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),수트_블레이져(수트)_ZB,42.306337452900486,58066516,480,13008514,95520000
14,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,수트_수트팬츠_ZB,30.4996633716204,40054200,589,7360329,58311000
15,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,18.92682019504764,44692624,1076,7767337,54322400
16,2021-01-03,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,수트_수트팬츠_ZB,0.0,-198000,-2,-35402,-198000
17,2021-01-03,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,조끼_패딩베스트_ZB,71.54974341430038,831601,37,332319,2923000
24,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,34.58096600585871,14404290,315,2796642,22018500
25,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,25.09300060171407,33021760,220,9000109,43780000
26,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,26.22471776589424,16809800,227,4785540,22473000
27,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,24.963089811574665,27211160,363,3574950,36263700
28,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,스웨터_라운드_ZB,61.922997130635245,25320840,576,5376434,56072400
29,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),스웨터_오픈형(CARDIGAN)_ZB,45.29459880679393,7023940,80,1149882,12792000
30,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,55.37657483040288,1933890,62,367604,4333800
32,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,봄,점퍼,패딩점퍼,점퍼_패딩점퍼_ZB,24.878344849246236,19134988,128,2474953,25472000
34,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,코트_싱글코트_ZB,-44.3966341556703,-7550500,-21,-531592,-5229000
35,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),수트_블레이져(수트)_ZB,28.2924543653374,61448100,478,16764904,95122000
36,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,수트_수트팬츠_ZB,23.457319478422768,39623100,556,9389501,55044000
37,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,29.026480207819343,39019704,1102,7861677,56409800
39,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,수트_수트팬츠_ZB,0.0,0,0,0,0
40,2021-01-10,ZB,1:남성,2021,01_시즌,당해년도,여름,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,0.0,0,0,0,0
41,2021-01-10,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,조끼_패딩베스트_ZB,83.15157066542794,11606546,872,8581655,68888000
48,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,69.3524372797376,3513314,164,1456031,11463600
49,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,24.704538565845095,54366700,358,14706902,71242000
50,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,24.661957110035296,33719000,447,9411933,44253000
51,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,84.34910103902352,2016947,129,1270447,12887100
52,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,스웨터_라운드_ZB,53.60998302185384,48397976,1099,9704138,103810100
53,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,오픈형(CARDIGAN),스웨터_오픈형(CARDIGAN)_ZB,78.73351242253682,403700,50,749096,7995000
54,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,48.62121531930861,4381480,122,723350,8527800
56,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,봄,점퍼,패딩점퍼,점퍼_패딩점퍼_ZB,33.15192986207634,12504600,94,1817544,18706000
58,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,싱글코트,코트_싱글코트_ZB,39.84675055448436,39707400,211,5388271,52539000
59,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,사계절,데님,데님팬츠,데님_데님팬츠_ZB,2.7286880778392346,3658470,47,551289,3755300
60,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),수트_블레이져(수트)_ZB,31.18064874504237,77652310,596,20831125,118604000
61,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,수트_수트팬츠_ZB,27.09700268009684,48170692,694,11570208,68706000
62,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,37.52542018948211,37518580,1251,8963535,65284900
63,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,사계절,자켓,싱글재킷,자켓_싱글재킷_ZB,0.0,0,0,0,0
65,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,수트_수트팬츠_ZB,0.0,0,0,0,0
66,2021-01-17,ZB,1:남성,2021,01_시즌,당해년도,여름,우븐 셔츠,드레스셔츠,우븐 셔츠_드레스셔츠_ZB,0.0,0,0,0,0
67,2021-01-17,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,조끼_패딩베스트_ZB,75.56868879866252,2045878,106,1066600,8374000
74,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,니트 셔츠_라운드_ZB,27.136894195574868,45201004,961,7368138,67173900
75,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),수트_블레이져(수트)_ZB,23.918819409456468,47355540,311,12743437,61889000
76,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,수트_수트팬츠_ZB,23.5987851001928,25318260,333,6990121,32967000
77,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,T-에리,스웨터_T-에리_ZB,73.38173838173839,3802605,143,1408336,14285700
78,2021-01-24,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,스웨터_라운드_ZB,57.279740718901024,61504926,1517,13534420,143948300
