카테고리,기준1_순위,기준2_순위,기준3_순위,기준4_순위,최종_순위,총판매수량,총매출,총입고수량,최대누적판매율,ROI,평균할인율,마지막주차_할인율,시즌종료_할인율증가량,가격탄력성(할인율-판매량_상관관계),가격탄력성(판매량변화율/가격변화율),총매출_순위,총입고_순위,최대누적판매율_순위,ROI_순위,평균할인율_순위,시즌종료_할인율증가량_순위,가격탄력성(상관계수) 순위,가격탄력성(판매량변화율) 순위
여름_우븐 셔츠_캐쥬얼셔츠_ZB,9,13,4,1,1,37990,1078654234,60865,62.42,0.06,64.58,79,-2.0,0.49,-116.28,15,4,12,14,1,16,10,2
여름_팬츠_팬츠(일반)_ZB,2,24,11,1,2,70962,2586460323,102827,69.01,0.07,55.79,73,0.0,0.63,-21.62,6,2,21,20,10,13,6,6
여름_자켓_싱글재킷_ZA,6,19,9,4,2,20913,3129651456,30109,69.46,0.06,47.76,67,1.0,0.2,-1038.68,2,10,22,14,14,8,15,1
사계절_수트_수트팬츠_ZB,5,4,23,6,2,32802,2594775689,52260,62.77,0.04,39.68,50,-7.0,0.76,0.11,5,6,13,2,17,25,1,17
사계절_우븐 셔츠_드레스셔츠_ZB,1,3,14,21,5,87208,2948580508,147470,59.14,0.04,51.0,55,-2.0,0.27,10.79,3,1,9,2,12,16,14,22
사계절_수트_블레이져(수트)_ZB,2,11,25,3,6,30022,4490337431,43555,68.93,0.04,39.17,48,-8.0,0.76,-8.92,1,7,20,2,18,28,1,13
여름_니트 셔츠_라운드_ZB,4,27,3,8,7,78737,1999130498,100742,78.16,0.07,60.23,79,1.0,0.51,-9.73,7,3,29,20,5,8,9,11
봄_스웨터_오픈형(CARDIGAN)_ZB,25,5,2,11,8,6606,415030305,13201,50.04,0.06,60.0,81,3.0,0.65,3.54,26,18,2,14,7,5,4,21
봄_코트_싱글코트_ZB,28,1,5,10,9,2884,372321683,6009,47.99,0.04,62.76,79,-2.0,0.11,-45.19,27,29,1,2,2,16,19,5
여름_팬츠_반바지_ZB,15,8,15,18,10,16620,453624027,25088,66.25,0.04,60.19,68,-6.0,0.65,17.61,25,11,17,2,6,24,4,27
여름_니트 셔츠_티에리_ZB,13,28,1,15,11,25777,794512941,30893,83.44,0.07,60.68,75,1.0,0.4,-6.24,20,9,30,20,3,8,12,15
여름_스웨터_라운드_ZB,14,22,7,16,12,16932,722194857,23800,71.14,0.06,52.24,62,1.0,0.08,-11.62,21,12,24,14,11,8,20,10
여름_수트_블레이져(수트)_ZA,18,12,25,5,13,6875,1443060061,10903,63.06,0.05,38.22,36,-7.0,0.49,-14.49,14,24,14,9,21,25,10,7
여름_스웨터_T-에리_ZB,7,31,9,14,14,50274,1788665935,54868,91.63,0.08,59.93,70,-1.0,0.4,-8.1,9,5,31,25,8,14,12,14
여름_팬츠_팬츠(일반)_ZA,8,19,20,16,15,23598,1788983082,35860,65.81,0.07,45.29,65,-3.0,0.04,-11.69,8,8,16,20,15,20,21,9
여름_수트_수트팬츠_ZA,15,8,29,11,15,7851,929045161,13185,59.54,0.05,38.5,34,-10.0,0.52,0.43,17,19,10,9,20,29,7,18
가을_수트_수트팬츠_ZB,18,26,11,9,17,8637,843864022,12738,67.8,0.08,33.65,54,10.0,0.16,-55.13,18,20,19,25,22,1,17,4
봄_스웨터_라운드_ZB,22,13,5,26,18,10183,515227370,18220,55.89,0.07,60.43,81,-1.0,-0.66,1.16,24,17,6,20,4,14,30,19
