카테고리,기준1_순위,기준2_순위,기준3_순위,기준4_순위,최종_순위,총판매수량,총판매액,총순수익,총입고수량,최대누적판매율,ROI,평균할인율,마지막주차_할인율,시즌종료_할인율증가량,가격탄력성(할인율-판매량_상관관계),가격탄력성(판매량변화율/가격변화율),총매출_순위,총순수익_순위,총입고_순위,최대누적판매율_순위,ROI_순위,평균할인율_순위,시즌종료_할인율증가량_순위,가격탄력성(상관계수) 순위,가격탄력성(판매량변화율) 순위
여름_우븐 셔츠_캐쥬얼셔츠_ZB,4,76,16,11,1,241253,6266358722,4471233319,220857,75.89,1.75,61.0,76,15,0.45,-30.84,12,13,2,91,72,10,61,36,20
여름_니트 셔츠_라운드_ZB,1,86,23,10,2,778665,13364910973,8189398649,739995,78.16,1.79,64.15,77,12,0.47,-28.63,2,5,1,98,75,4,79,33,22
겨울_사파리_패딩사파리_ZB,5,37,22,72,3,78974,10475987058,6139075562,55852,63.09,0.65,57.82,73,16,0.69,209.11,6,8,14,65,18,31,50,10,132
여름_우븐 셔츠_드레스셔츠_ZB,11,74,52,5,4,179331,4591495332,3513740246,106473,66.74,1.93,58.12,69,11,0.56,-101.43,22,20,6,73,84,27,91,23,7
겨울_니트 셔츠_후드티_ZB,61,17,38,28,5,12493,424696816,276940492,22000,38.83,0.75,58.83,70,12,0.63,-1.52,83,84,39,22,22,21,79,13,70
여름_팬츠_니트팬츠_ZB,68,18,48,11,6,12420,388958965,218831915,17169,50.17,0.49,61.3,65,8,0.39,-72.2,85,90,50,38,8,8,107,46,10
겨울_코트_싱글코트_ZA,35,35,73,7,7,21728,5563035559,3351108743,11894,54.62,0.89,53.14,65,12,0.7,-10.8,17,22,61,47,29,57,79,8,41
겨울_니트 셔츠_오픈형티(맨투맨 등)_ZB,45,19,33,62,8,12992,676471132,458680959,30481,40.94,0.74,62.19,74,11,0.33,-3.25,72,74,27,27,21,5,91,56,66
겨울_코트_싱글코트_ZB,17,69,63,14,9,48191,8073588917,5082187579,28951,77.2,1.11,47.21,63,16,0.63,-8.67,10,10,30,96,40,77,50,13,47
여름_팬츠_반바지_ZA,81,45,15,23,10,8356,237160505,139751298,11755,60.51,0.92,57.77,76,19,0.38,-17.87,98,102,63,60,30,32,38,48,29
겨울_팬츠_니트팬츠_ZB,64,53,33,26,11,16150,517307753,372949215,17708,54.2,1.46,53.06,71,19,0.54,-6.85,78,79,48,46,57,58,38,27,54
봄_스웨터_T-에리_ZA,85,26,1,64,11,5105,205780153,139001648,11342,45.01,0.81,61.29,82,26,0.22,-7.61,99,103,66,33,25,9,20,77,50
가을_팬츠_팬츠(일반)_ZA,88,29,35,26,13,5110,257012623,173620226,10412,50.39,0.82,57.86,75,14,0.45,-9.12,96,97,73,39,26,30,67,36,45
겨울_사파리_패딩사파리_ZA,76,52,19,31,13,4100,715055807,549088984,7001,50.45,1.54,59.3,74,15,0.52,-6.83,71,69,86,40,62,18,61,31,55
겨울_팬츠_팬츠(일반)_ZB,14,50,115,2,15,89051,4473461187,3301001719,58177,52.13,1.41,44.16,54,9,0.61,-120.92,23,23,13,44,55,88,104,16,6
사계절_팬츠_니트팬츠_ZB,69,14,30,69,16,7433,184123003,137812003,23474,25.2,0.71,52.87,80,21,0.54,9.35,104,104,35,9,20,61,30,27,104
