기획년도,주차,카테고리,라인,시즌이월,시즌,복종,소품종,성별,총입고수량,판매수량,판매액,평균택가,평균원가,총입고원가,총입고택가,매출원가계,판매택가계,주차별_평균_실판매가,월,월별_평균_실판매가,시즌별_평균_실판매가,실판매가,할인율,누적판매수량,누적판매액,누적매출원가,누적판매택가,누적판매율,ROI,맑음,흐림,비,강한 비,눈,강한 눈,진눈깨비,악천후일수,평균기온(도),목표누적판매율_주차별,목표누적판매율_월별,ROI목표율_주차별,ROI목표율_월별,ROI목표율_주차별_percent,ROI목표율_월별_percent,목표통합지표_주차별,목표통합지표_월별,주차별_실제통합지표,통합목표달성율_주차별,통합목표달성율_월별,ROI_percent,월별_누적판매율,월별_ROI_percent,월별_실제통합지표
2023,2023-08-13,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,22,1068000,69900,5436,34301160,441069000,119592,1537800,48545.0,8,48822.0,34667,48545.0,31.0,22,1068000,119592,1537800,0.35,0.02,5,2,0,0,0,0,0,0,28.2,,,,,,,,,,,,2.0,,,
2023,2023-08-20,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,125,6115000,69900,5436,34301160,441069000,679500,8737500,48920.0,8,48822.0,34667,48920.0,30.0,147,7183000,799092,10275300,2.33,0.17,1,3,1,2,0,0,0,2,26.9,,,,,,,,,,,,17.0,,,
2023,2023-08-27,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,55,2695000,69900,5436,34301160,441069000,298980,3844500,49000.0,8,48822.0,34667,49000.0,30.0,202,9878000,1098072,14119800,3.2,0.23,3,1,2,1,0,0,0,1,24.2,,,,,,,,,,,,23.0,,,
2023,2023-09-03,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,134,6556000,69900,5436,34301160,441069000,728424,9366600,48925.0,9,43191.0,34667,48925.0,30.0,336,16434000,1826496,23486400,5.32,0.38,4,3,0,0,0,0,0,0,26.7,,,,,,,,,,,,38.0,,,
2023,2023-09-10,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,104,5086000,69900,5436,34301160,441069000,565344,7269600,48904.0,9,43191.0,34667,48904.0,30.0,440,21520000,2391840,30756000,6.97,0.5,4,1,1,1,0,0,0,1,24.1,,,,,,,,,,,,50.0,,,
2023,2023-09-17,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,175,6821100,69900,5436,34301160,441069000,951300,12232500,38978.0,9,43191.0,34667,38978.0,44.0,615,28341100,3343140,42988500,9.75,0.65,4,1,2,0,0,0,0,0,22.4,,,,,,,,,,,,65.0,,,
2023,2023-09-24,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,230,8270000,69900,5436,34301160,441069000,1250280,16077000,35957.0,9,43191.0,34667,35957.0,49.0,845,36611100,4593420,59065500,13.39,0.84,3,1,3,0,0,0,0,0,21.2,,,,,,,,,,,,84.0,,,
2023,2023-10-01,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,328,11900966,69900,5436,34301160,441069000,1783008,22927200,36283.0,10,30315.0,34667,36283.0,48.0,1173,48512066,6376428,81992700,18.59,1.1,6,0,1,0,0,0,0,0,16.8,,,,,,,,,,,,110.00000000000001,,,
2023,2023-10-08,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,434,15426372,69900,5436,34301160,441069000,2359224,30336600,35545.0,10,30315.0,34667,35545.0,49.0,1607,63938438,8735652,112329300,25.47,1.44,4,2,1,0,0,0,0,0,17.0,,,,,,,,,,,,144.0,,,
2023,2023-10-15,가을_니트 셔츠_라운드_ZB,ZB,01_시즌,가을,니트 셔츠,라운드,1:남성,6310,406,12554590,69900,5436,34301160,441069000,2207016,28379400,30923.0,10,30315.0,34667,30923.0,56.0,2013,76493028,10942668,140708700,31.9,1.71,5,0,2,0,0,0,0,0,14.2,,,,,,,,,,,,171.0,,,
