월,주차,시즌,주차별_목표누적판매율,월별_목표누적판매율
6,2024-06-09,가을,0.0,0.75
6,2024-06-16,가을,0.1,0.75
6,2024-06-23,가을,0.35,0.75
6,2024-06-30,가을,0.75,0.75
7,2024-07-07,가을,1.31,5.24
7,2024-07-14,가을,2.07,5.24
7,2024-07-21,가을,3.2,5.24
7,2024-07-28,가을,5.24,5.24
8,2024-08-04,가을,7.3,15.9
8,2024-08-11,가을,9.98,15.9
8,2024-08-18,가을,12.99,15.9
8,2024-08-25,가을,15.9,15.9
9,2024-09-01,가을,19.14,35.27
9,2024-09-08,가을,22.24,35.27
9,2024-09-15,가을,26.16,35.27
9,2024-09-22,가을,30.62,35.27
9,2024-09-29,가을,35.27,35.27
10,2024-10-06,가을,39.72,52.02
10,2024-10-13,가을,43.58,52.02
10,2024-10-20,가을,47.79,52.02
10,2024-10-27,가을,52.02,52.02
11,2024-11-03,가을,55.81,65.0
11,2024-11-10,가을,59.01,65.0
11,2024-11-17,가을,61.83,65.0
11,2024-11-24,가을,65.0,65.0
7,2024-07-21,겨울,0.0,0.0
7,2024-07-28,겨울,0.0,0.0
8,2024-08-04,겨울,0.09,0.14
8,2024-08-11,겨울,0.53,0.14
8,2024-08-18,겨울,0.26,0.14
8,2024-08-25,겨울,0.14,0.14
9,2024-09-01,겨울,0.37,2.92
9,2024-09-08,겨울,0.74,2.92
9,2024-09-15,겨울,1.45,2.92
9,2024-09-22,겨울,2.22,2.92
9,2024-09-29,겨울,2.92,2.92
10,2024-10-06,겨울,4.6,13.38
10,2024-10-13,겨울,7.65,13.38
10,2024-10-20,겨울,10.56,13.38
10,2024-10-27,겨울,13.38,13.38
11,2024-11-03,겨울,16.48,29.2
11,2024-11-10,겨울,19.99,29.2
11,2024-11-17,겨울,24.32,29.2
11,2024-11-24,겨울,29.2,29.2
12,2024-12-01,겨울,34.35,55.0
12,2024-12-08,겨울,39.23,55.0
12,2024-12-15,겨울,43.83,55.0
12,2024-12-22,겨울,49.04,55.0
12,2024-12-29,겨울,55.0,55.0
1,2024-01-07,봄,0.0,6.36
1,2024-01-14,봄,1.38,6.36
1,2024-01-21,봄,3.71,6.36
1,2024-01-28,봄,6.36,6.36
2,2024-02-04,봄,10.28,22.02
2,2024-02-11,봄,13.83,22.02
2,2024-02-18,봄,17.73,22.02
2,2024-02-25,봄,22.02,22.02
3,2024-03-03,봄,26.78,48.97
3,2024-03-10,봄,32.33,48.97
3,2024-03-17,봄,37.96,48.97
3,2024-03-24,봄,43.79,48.97
3,2024-03-31,봄,48.97,48.97
4,2024-04-07,봄,53.56,66.64
4,2024-04-14,봄,58.01,66.64
4,2024-04-21,봄,62.66,66.64
4,2024-04-28,봄,66.64,66.64
5,2024-05-05,봄,70.82,80.0
5,2024-05-12,봄,74.87,80.0
5,2024-05-19,봄,77.49,80.0
5,2024-05-26,봄,80.0,80.0
1,2024-01-07,사계절,0.0,3.19
1,2024-01-14,사계절,1.05,3.19
1,2024-01-21,사계절,2.05,3.19
1,2024-01-28,사계절,3.19,3.19
2,2024-02-04,사계절,4.72,10.74
2,2024-02-11,사계절,6.3,10.74
2,2024-02-18,사계절,8.39,10.74
2,2024-02-25,사계절,10.74,10.74
3,2024-03-03,사계절,13.32,26.15
3,2024-03-10,사계절,16.68,26.15
3,2024-03-17,사계절,19.86,26.15
3,2024-03-24,사계절,23.13,26.15
3,2024-03-31,사계절,26.15,26.15
4,2024-04-07,사계절,29.2,36.74
4,2024-04-14,사계절,31.9,36.74
4,2024-04-21,사계절,34.58,36.74
4,2024-04-28,사계절,36.74,36.74
5,2024-05-05,사계절,37.87,36.8
5,2024-05-12,사계절,37.6,36.8
5,2024-05-19,사계절,35.73,36.8
5,2024-05-26,사계절,36.8,36.8
6,2024-06-02,사계절,38.4,46.03
6,2024-06-09,사계절,40.29,46.03
6,2024-06-16,사계절,42.29,46.03
6,2024-06-23,사계절,44.21,46.03
6,2024-06-30,사계절,46.03,46.03
7,2024-07-07,사계절,47.59,51.2
7,2024-07-14,사계절,49.1,51.2
7,2024-07-21,사계절,50.68,51.2
7,2024-07-28,사계절,51.2,51.2
8,2024-08-04,사계절,51.91,57.45
8,2024-08-11,사계절,53.38,57.45
8,2024-08-18,사계절,55.11,57.45
8,2024-08-25,사계절,57.45,57.45
9,2024-09-01,사계절,59.62,59.6
9,2024-09-08,사계절,56.44,59.6
9,2024-09-15,사계절,55.88,59.6
9,2024-09-22,사계절,56.99,59.6
9,2024-09-29,사계절,59.6,59.6
10,2024-10-06,사계절,62.18,67.95
10,2024-10-13,사계절,64.24,67.95
10,2024-10-20,사계절,66.86,67.95
10,2024-10-27,사계절,67.95,67.95
11,2024-11-03,사계절,69.8,74.35
