,기간,주차,라인,성별,기획년도,시즌이월,상품년차,시즌,복종,소품종,CAT,총입고수량,총입고원가,총입고택가,총출고수량,총출고원가,총출고택가,판매액,판매수량,매출원가,판매택가,총판매액,총판매수량,총매출원가,총판매택가,물류재고수량,물류재고원가,물류재고택가,매장재고수량,매장재고원가,매장재고택가,재고수량,재고원가,재고택가,기간입고수량,기간입고원가,기간입고택가,기간출고수량,기간출고원가,기간출고택가
0,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,캐쥬얼셔츠,02_SHIRTS,2247,19893640,157065300,1009,8933103,70529100,-124850,0,0,0,84850,3,26560,209700,1238,10960537,86536200,1006,8906543,70319400,2244,19867080,156855600,0,0,0,53,469228,3704700
1,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,소품,양말,10_ACC/ETC,14000,11480000,46200000,10775,8835500,35557500,2033156,617,505940,2036100,10270838,3127,2564140,10319100,3225,2644500,10642500,7648,6271360,25238400,10873,8915860,35880900,0,0,0,454,372280,1498200
2,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,니트 셔츠,라운드,01_KNIT,20076,178239296,1403312400,5940,52736683,415206000,18981424,401,3559559,28029900,18981424,401,3560170,28029900,14136,125502613,988106400,5539,49176513,387176100,19675,174679125,1375282500,0,0,0,5940,52713656,415206000
3,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,사계절,소품,타이,10_ACC/ETC,7652,49967560,381834800,5831,38076430,290966900,8450445,174,1136220,8682600,85204225,1733,11316490,86476700,1820,11884600,90818000,4098,26759940,204490200,5918,38644540,295308200,0,0,0,166,1083980,8283400
4,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,405,26409229,153495000,356,23214038,134924000,1682760,6,391248,2274000,16797003,60,3912478,22740000,49,3195191,18571000,296,19301560,112184000,345,22496751,130755000,0,0,0,6,391248,2274000
5,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,1754,33478840,173646000,1258,24011620,124542000,1682800,24,458091,2376000,6078400,73,1393361,7227000,496,9467220,49104000,1185,22618258,117315000,1681,32085479,166419000,0,0,0,42,801660,4158000
6,당해,20210103,ZE,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,03_SWEATER,17139,143451650,2054966100,17091,143025566,2049210900,1185956,28,254282,3357200,8895770,242,2118040,29015800,48,426084,5755200,16849,140907527,2020195100,16897,141333610,2025950300,643,5623692,77095700,597,5241327,71580300
7,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,봄,가죽&FUR,가죽점퍼,06_OUTER,499,101796000,498501000,350,71400000,349650000,18831000,19,3876000,18981000,18831000,19,3876000,18981000,149,30396000,148851000,331,67524000,330669000,480,97920000,479520000,0,0,0,350,71400000,349650000
8,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,2400,51610717,237600000,1873,40277864,185427000,5889510,80,1720357,7920000,30924342,405,8709308,40095000,527,11332853,52173000,1468,31568555,145332000,1995,42901409,197505000,0,0,0,38,817170,3762000
9,당해,20210103,ZD,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,캐쥬얼셔츠,02_SHIRTS,284,2552194,19851600,124,1114338,8667600,0,0,0,0,0,0,0,0,160,1437856,11184000,124,1114338,8667600,284,2552194,19851600,0,0,0,0,0,0
10,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,소품,벨트,10_ACC/ETC,4150,43575000,207085000,3712,38976000,185228800,5425660,115,1207500,5738500,68738092,1417,14878500,70708300,437,4588500,21806300,2295,24097500,114520500,2732,28686000,136326800,0,0,0,109,1144500,5439100
11,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,2000,78524775,398000000,1483,58226121,295117000,10377850,70,2748367,13930000,53437594,348,13663311,69252000,517,20298654,102883000,1135,44562810,225865000,1652,64861464,328748000,0,0,0,38,1491971,7562000
12,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,1460,57857146,290540000,1122,44462820,223278000,2388000,18,713307,3582000,10506600,63,2496575,12537000,338,13394326,67262000,1059,41966245,210741000,1397,55360571,278003000,0,0,0,37,1466243,7363000
13,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,02_SHIRTS,54034,357697417,2155956600,26997,179516328,1077180300,21031022,579,3842326,23102100,356060216,9427,62770780,376137300,27012,178015465,1077778800,17570,116745548,701043000,44582,294761013,1778821800,0,0,0,377,2492803,15042300
14,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,02_SHIRTS,8943,84010366,625115700,6927,65072102,484197300,7799910,145,1362127,10135500,92744527,1714,16101282,119808600,2013,18910082,140708700,5213,48970819,364388700,7226,67880902,505097400,0,0,0,164,1540613,11463600
15,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,1760,38137210,174240000,1256,27216100,124344000,2029300,27,584919,2673000,6400347,76,1646834,7524000,504,10921110,49896000,1180,25569266,116820000,1684,36490376,166716000,0,0,0,27,584520,2673000
16,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,1516,61021238,301684000,919,36991107,182881000,-398000,-1,-40251,-199000,2348200,14,563521,2786000,597,24030131,118803000,905,36427586,180095000,1502,60457717,298898000,0,0,0,6,241509,1194000
17,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,1509,78118694,481371000,1433,74184287,457127000,14831780,84,4348556,26796000,95624412,474,24538278,151206000,76,3934407,24244000,959,49646009,305921000,1035,53580416,330165000,0,0,0,57,2950806,18183000
18,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,코트,더블코트,06_OUTER,3340,116278773,1098860000,1987,69174172,653723000,14805000,45,1543099,14805000,14805000,45,1561105,14805000,1353,47104601,445137000,1942,67613066,638918000,3295,114717668,1084055000,0,0,0,1987,68471490,653723000
19,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,캐쥬얼셔츠,02_SHIRTS,9029,73056869,631127100,6277,50789423,438762300,5009759,89,720259,6221100,10134633,211,1707488,14748900,2752,22267447,192364800,6066,49081935,424013400,8818,71349381,616378200,0,0,0,166,1343634,11603400
20,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,여름,수트,수트팬츠,09_SUITS,0,0,0,0,0,0,-198000,-2,-35402,-198000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,당해,20210103,ZE,1:남성,2021,01_시즌,당해년도,봄,스웨터,VEST,03_SWEATER,3463,29127153,345953700,3444,28967345,344055600,195887,6,50466,599400,2280799,67,563534,6693300,19,159808,1898100,3377,28403810,337362300,3396,28563619,339260400,0,0,0,-19,-159808,-1898100
22,당해,20210103,ZC,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,1170,35737174,209430000,866,26451618,155014000,1501810,15,458169,2685000,9561870,86,2626835,15394000,304,9285556,54416000,780,23824783,139620000,1084,33110339,194036000,0,0,0,10,305446,1790000
23,당해,20210103,ZC,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,1158,22635285,114642000,791,15461581,78309000,297000,3,58641,297000,821700,9,175922,891000,367,7173704,36333000,782,15285659,77418000,1149,22459363,113751000,0,0,0,2,39094,198000
24,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,03_SWEATER,24801,197381114,2229609900,17215,137424739,1547628500,12550423,294,2374984,26430600,64841860,1185,9470951,106531500,7586,59956375,681981400,16030,127953789,1441097000,23616,187910163,2123078400,148,1228666,13305200,1337,10601992,120196300
25,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,소품,벨트,10_ACC/ETC,4500,21901500,134550000,3052,14854084,91254800,2018250,69,335823,2063100,15666279,544,2647648,16265600,1448,7047416,43295200,2508,12206436,74989200,3956,19253852,118284400,0,0,0,74,360158,2212600
26,당해,20210103,ZE,1:남성,2021,01_시즌,당해년도,봄,코트,더블코트,06_OUTER,1977,72384548,788823000,1977,72384548,788823000,0,0,0,0,0,0,0,0,0,0,0,1977,72384548,788823000,1977,72384548,788823000,1977,72797848,788823000,1977,72797848,788823000
27,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,1811,53991724,324169000,1619,48267588,289801000,9075540,92,2742815,16468000,60961522,540,16099134,96660000,192,5724136,34368000,1079,32168454,193141000,1271,37892590,227509000,0,0,0,49,1460847,8771000
28,당해,20210103,ZC,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,967,39854031,192433000,634,26129737,126166000,577100,3,123642,597000,1830800,10,412141,1990000,333,13724294,66267000,624,25717596,124176000,957,39441890,190443000,0,0,0,2,82428,398000
29,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,1466,61144661,291734000,1109,46254727,220691000,3920300,26,1084421,5174000,12298200,72,3003012,14328000,357,14889935,71043000,1037,43251715,206363000,1394,58141649,277406000,0,0,0,29,1209547,5771000
30,당해,20210103,ZE,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,02_SHIRTS,8000,41087120,639200000,7697,39530945,614990300,963603,52,267066,4154800,18463901,849,4360371,67835100,301,1545903,24049900,6848,35170575,547155200,7149,36716478,571205100,0,0,0,-303,-1556175,-24209700
31,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,1820,37928190,180180000,1057,22027526,104643000,999700,11,229236,1089000,1375900,16,333435,1584000,763,15900664,75537000,1041,21694091,103059000,1804,37594755,178596000,0,0,0,9,187557,891000
32,당해,20210103,ZC,1:남성,2021,01_시즌,당해년도,사계절,우븐 셔츠,드레스셔츠,02_SHIRTS,1000,7535469,39900000,832,6269510,33196800,590520,15,113032,598500,15593803,413,3112149,16478700,167,1258423,6663300,419,3157362,16718100,586,4415785,23381400,0,0,0,11,82890,438900
33,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,09_SUITS,2371,40264759,234729000,1827,31026451,180873000,11478500,172,2920936,17028000,32762426,477,8100502,47223000,544,9238308,53856000,1350,22925949,133650000,1894,32164257,187506000,0,0,0,155,2632239,15345000
34,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,489,18401014,107091000,384,14449876,84096000,1305240,8,301039,1752000,8735620,56,2107274,12264000,105,3951138,22995000,328,12342602,71832000,433,16293740,94827000,0,0,0,8,301039,1752000
35,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),09_SUITS,4506,141091296,896694000,3598,109182461,716002000,42980516,341,7905600,67859000,148974935,1131,35284202,225069000,908,31908835,180692000,2467,73898258,490933000,3375,105807093,671625000,0,0,0,274,4489878,54526000
36,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,사계절,소품,타이,10_ACC/ETC,8024,50711680,320157600,5493,34715760,219170700,7349530,188,1188160,7501200,39662698,1017,6427440,40578300,2531,15995920,100986900,4476,28288320,178592400,7007,44284240,279579300,0,0,0,139,878480,5546100
37,당해,20210103,ZC,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,925,39852731,184075000,657,28306210,130743000,1910400,12,517008,2388000,3542200,21,904765,4179000,268,11546521,53332000,636,27401445,126564000,904,38947966,179896000,0,0,0,6,258504,1194000
38,당해,20210103,ZC,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,1110,24226996,109890000,819,17875594,81081000,692800,10,218261,990000,1366000,17,371044,1683000,291,6351402,28809000,802,17504550,79398000,1093,23855952,108207000,0,0,0,5,109131,495000
39,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,수트팬츠,09_SUITS,2322,36792774,229878000,1588,25162328,157212000,1283000,18,285215,1782000,8977200,128,2028198,12672000,734,11630446,72666000,1460,23134130,144540000,2194,34764576,217206000,0,0,0,50,792265,4950000
40,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,봄,가죽&FUR,가죽점퍼,06_OUTER,1101,225705000,1099899000,664,136120000,663336000,33466400,34,6970000,33966000,33466400,34,6970000,33966000,437,89585000,436563000,630,129150000,629370000,1067,218735000,1065933000,0,0,0,664,136120000,663336000
41,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,사계절,소품,타이,10_ACC/ETC,3013,19042160,120218700,2074,13107680,82752600,2222380,57,360240,2274300,14186738,365,2306800,14563500,939,5934480,37466100,1709,10800880,68189100,2648,16735360,105655200,0,0,0,50,316000,1995000
42,당해,20210103,ZE,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,02_SHIRTS,20547,110257522,1641705300,20456,109769206,1634434400,1225272,61,327333,4873900,8097983,375,2012292,29962500,91,488316,7270900,20081,107756913,1604471900,20172,108245230,1611742800,0,0,0,-91,-488316,-7270900
43,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,캐쥬얼셔츠,02_SHIRTS,2995,21348695,209350500,1918,13671719,134068200,2547480,39,277992,2726100,3316380,50,356406,3495000,1077,7676977,75282300,1868,13315313,130573200,2945,20992290,205855500,0,0,0,50,356399,3495000
44,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,사계절,소품,타이,10_ACC/ETC,6520,42536480,325348000,5067,33057108,252843300,3363260,68,443632,3393200,32547984,663,4325412,33083700,1453,9479372,72504700,4404,28731696,219759600,5857,38211068,292264300,0,0,0,85,554540,4241500
45,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,봄,수트,블레이져(수트),09_SUITS,2464,126832075,786016000,1554,79990684,495726000,3170860,19,978007,6061000,45062139,221,11375766,70499000,910,46841391,290290000,1333,68614917,425227000,2243,115456309,715517000,0,0,0,21,1080955,6699000
46,당해,20210103,ZD,1:남성,2021,01_시즌,당해년도,봄,스웨터,라운드,03_SWEATER,1603,14932615,144109700,0,0,0,0,0,0,0,0,0,0,0,1603,14932615,144109700,0,0,0,1603,14932615,144109700,1603,14834015,144109700,0,0,0
47,당해,20210103,ZA,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,2957,85512938,529303000,2001,57866550,358179000,2541110,28,809727,5012000,29737030,262,7576730,46898000,956,27646388,171124000,1739,50289820,311281000,2695,77936208,482405000,0,0,0,33,954321,5907000
48,당해,20210103,ZE,1:남성,2021,01_시즌,당해년도,봄,우븐 셔츠,드레스셔츠,02_SHIRTS,5127,26331384,409647300,5019,25776715,401018100,470996,27,138667,2157300,2926639,137,703608,10946300,108,554669,8629200,4882,25073106,390071800,4990,25627776,398701000,0,0,0,-108,-554669,-8629200
49,당해,20210103,ZB,4:기타,2021,01_시즌,당해년도,봄,조끼,패딩베스트,06_OUTER,10202,103027909,805958000,5774,54621292,456146000,831601,37,332319,2923000,21140760,946,9009988,74734000,4424,48358109,349496000,4828,45611305,381412000,9252,93969414,730908000,0,0,0,-65,-637254,-5135000
50,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,사계절,수트,블레이져(수트),09_SUITS,1976,72854395,393224000,1498,55230710,298102000,12994000,120,4424356,23880000,41228710,367,13531155,73033000,478,17623685,95122000,1131,41699555,225069000,1609,59323240,320191000,0,0,0,114,4203138,22686000
51,당해,20210103,ZB,1:남성,2021,01_시즌,당해년도,봄,수트,수트팬츠,09_SUITS,2316,48984476,229284000,1395,29504898,138105000,8315600,101,2136197,9999000,11800400,141,2982216,13959000,921,19479578,91179000,1254,26522683,124146000,2175,46002260,215325000,0,0,0,76,1607435,7524000
